commentId,comment,classification,comment_processed,word_phrase_list,bedside,bedside manner,manner,manner gentle,gentle,practical,similarity_score,regression_weight
104638,Find another primary with bedside manors and a professional office staff.,1,find primary bedside manor professional office staff,"['find', 'find primary', 'find primary bedside', 'find primary bedside manor', 'find primary bedside manor professional', 'find primary bedside manor professional office', 'find primary bedside manor professional office staff', 'primary', 'primary bedside', 'primary bedside manor', 'primary bedside manor professional', 'primary bedside manor professional office', 'primary bedside manor professional office staff', 'bedside', 'bedside manor', 'bedside manor professional', 'bedside manor professional office', 'bedside manor professional office staff', 'manor', 'manor professional', 'manor professional office', 'manor professional office staff', 'professional', 'professional office', 'professional office staff', 'office', 'office staff', 'staff']",1,0,0,0,0,0,0.0526315789473684,0.0
71559,He has one of the best bedside manners.,0,good bedside manner,"['good', 'good bedside', 'good bedside manner', 'bedside', 'bedside manner', 'manner']",1,1,1,0,0,0,0.375,0.0
184355,she was gentle because after the procedure I only felt mild cramps nothing too crazy!,0,gentle procedure feel mild cramp crazy,"['gentle', 'gentle procedure', 'gentle procedure feel', 'gentle procedure feel mild', 'gentle procedure feel mild cramp', 'gentle procedure feel mild cramp crazy', 'procedure', 'procedure feel', 'procedure feel mild', 'procedure feel mild cramp', 'procedure feel mild cramp crazy', 'feel', 'feel mild', 'feel mild cramp', 'feel mild cramp crazy', 'mild', 'mild cramp', 'mild cramp crazy', 'cramp', 'cramp crazy', 'crazy']",0,0,0,0,1,0,0.064516129032258,0.0
163109,I will say that I have experienced considerable anxiety not knowing whether required forms would be completed in a timely manner.,1,experience considerable anxiety not know require form complete timely manner,"['experience', 'experience considerable', 'experience considerable anxiety', 'experience considerable anxiety not', 'experience considerable anxiety not know', 'experience considerable anxiety not know require', 'experience considerable anxiety not know require form', 'experience considerable anxiety not know require form complete', 'experience considerable anxiety not know require form complete timely', 'experience considerable anxiety not know require form complete timely manner', 'considerable', 'considerable anxiety', 'considerable anxiety not', 'considerable anxiety not know', 'considerable anxiety not know require', 'considerable anxiety not know require form', 'considerable anxiety not know require form complete', 'considerable anxiety not know require form complete timely', 'considerable anxiety not know require form complete timely manner', 'anxiety', 'anxiety not', 'anxiety not know', 'anxiety not know require', 'anxiety not know require form', 'anxiety not know require form complete', 'anxiety not know require form complete timely', 'anxiety not know require form complete timely manner', 'not', 'not know', 'not know require', 'not know require form', 'not know require form complete', 'not know require form complete timely', 'not know require form complete timely manner', 'know', 'know require', 'know require form', 'know require form complete', 'know require form complete timely', 'know require form complete timely manner', 'require', 'require form', 'require form complete', 'require form complete timely', 'require form complete timely manner', 'form', 'form complete', 'form complete timely', 'form complete timely manner', 'complete', 'complete timely', 'complete timely manner', 'timely', 'timely manner', 'manner']",0,0,1,0,0,0,0.0307692307692307,0.0
99064,doctor hodes has really bad bedside manner.,1,doctor hope bad bedside manner,"['doctor', 'doctor hope', 'doctor hope bad', 'doctor hope bad bedside', 'doctor hope bad bedside manner', 'hope', 'hope bad', 'hope bad bedside', 'hope bad bedside manner', 'bad', 'bad bedside', 'bad bedside manner', 'bedside', 'bedside manner', 'manner']",1,1,1,0,0,0,0.24,0.0
95566,His mild manner and reassurance that my forehead would be normal looking helped me.,0,mild manner assurance forehead normal look help,"['mild', 'mild manner', 'mild manner assurance', 'mild manner assurance forehead', 'mild manner assurance forehead normal', 'mild manner assurance forehead normal look', 'mild manner assurance forehead normal look help', 'manner', 'manner assurance', 'manner assurance forehead', 'manner assurance forehead normal', 'manner assurance forehead normal look', 'manner assurance forehead normal look help', 'assurance', 'assurance forehead', 'assurance forehead normal', 'assurance forehead normal look', 'assurance forehead normal look help', 'forehead', 'forehead normal', 'forehead normal look', 'forehead normal look help', 'normal', 'normal look', 'normal look help', 'look', 'look help', 'help']",0,0,1,0,0,0,0.0526315789473684,0.0
181713,He is kind and gentle and understands my dental phobia and works with me on it.,0,kind gentle understand dental phobia work,"['kind', 'kind gentle', 'kind gentle understand', 'kind gentle understand dental', 'kind gentle understand dental phobia', 'kind gentle understand dental phobia work', 'gentle', 'gentle understand', 'gentle understand dental', 'gentle understand dental phobia', 'gentle understand dental phobia work', 'understand', 'understand dental', 'understand dental phobia', 'understand dental phobia work', 'dental', 'dental phobia', 'dental phobia work', 'phobia', 'phobia work', 'work']",0,0,0,0,1,0,0.064516129032258,0.0
139256,His level of bedside manner was nothing short of incompetent.,1,level bedside manner short incompetent,"['level', 'level bedside', 'level bedside manner', 'level bedside manner short', 'level bedside manner short incompetent', 'bedside', 'bedside manner', 'bedside manner short', 'bedside manner short incompetent', 'manner', 'manner short', 'manner short incompetent', 'short', 'short incompetent', 'incompetent']",1,1,1,0,0,0,0.24,0.0
126296,and calm bedside manner is exactly what I need to balance me out.,0,calm bedside manner precisely need balance,"['calm', 'calm bedside', 'calm bedside manner', 'calm bedside manner precisely', 'calm bedside manner precisely need', 'calm bedside manner precisely need balance', 'bedside', 'bedside manner', 'bedside manner precisely', 'bedside manner precisely need', 'bedside manner precisely need balance', 'manner', 'manner precisely', 'manner precisely need', 'manner precisely need balance', 'precisely', 'precisely need', 'precisely need balance', 'need', 'need balance', 'balance']",1,1,1,0,0,0,0.1935483870967742,0.0
101498,"He has no personality, terrible bedside manner, is arrogant.",1,no personality terrible bedside manner arrogant,"['no', 'no personality', 'no personality terrible', 'no personality terrible bedside', 'no personality terrible bedside manner', 'no personality terrible bedside manner arrogant', 'personality', 'personality terrible', 'personality terrible bedside', 'personality terrible bedside manner', 'personality terrible bedside manner arrogant', 'terrible', 'terrible bedside', 'terrible bedside manner', 'terrible bedside manner arrogant', 'bedside', 'bedside manner', 'bedside manner arrogant', 'manner', 'manner arrogant', 'arrogant']",1,1,1,0,0,0,0.1935483870967742,0.0
110120,His professionalism and amazing bedside manner is beyond compare.,0,professionalism amaze bedside manner compare,"['professionalism', 'professionalism amaze', 'professionalism amaze bedside', 'professionalism amaze bedside manner', 'professionalism amaze bedside manner compare', 'amaze', 'amaze bedside', 'amaze bedside manner', 'amaze bedside manner compare', 'bedside', 'bedside manner', 'bedside manner compare', 'manner', 'manner compare', 'compare']",1,1,1,0,0,0,0.24,0.0
179875,"so I will have to schedule you Tuesday. (UM...find someone) 2.In our conversation he said, ""What do you want...money?"" (Where is your bedside manners sir?",1,schedule mind conversation say wantonly bedside manner sir,"['schedule', 'schedule mind', 'schedule mind conversation', 'schedule mind conversation say', 'schedule mind conversation say wantonly', 'schedule mind conversation say wantonly bedside', 'schedule mind conversation say wantonly bedside manner', 'schedule mind conversation say wantonly bedside manner sir', 'mind', 'mind conversation', 'mind conversation say', 'mind conversation say wantonly', 'mind conversation say wantonly bedside', 'mind conversation say wantonly bedside manner', 'mind conversation say wantonly bedside manner sir', 'conversation', 'conversation say', 'conversation say wantonly', 'conversation say wantonly bedside', 'conversation say wantonly bedside manner', 'conversation say wantonly bedside manner sir', 'say', 'say wantonly', 'say wantonly bedside', 'say wantonly bedside manner', 'say wantonly bedside manner sir', 'wantonly', 'wantonly bedside', 'wantonly bedside manner', 'wantonly bedside manner sir', 'bedside', 'bedside manner', 'bedside manner sir', 'manner', 'manner sir', 'sir']",1,1,1,0,0,0,0.1304347826086956,0.0
84849,I was not impressed with the bedside manner.,1,not impress bedside manner,"['not', 'not impress', 'not impress bedside', 'not impress bedside manner', 'impress', 'impress bedside', 'impress bedside manner', 'bedside', 'bedside manner', 'manner']",1,1,1,0,0,0,0.3,0.0
112726,Excellent bedside manner and follow up visit.,0,excellent bedside manner follow visit,"['excellent', 'excellent bedside', 'excellent bedside manner', 'excellent bedside manner follow', 'excellent bedside manner follow visit', 'bedside', 'bedside manner', 'bedside manner follow', 'bedside manner follow visit', 'manner', 'manner follow', 'manner follow visit', 'follow', 'follow visit', 'visit']",1,1,1,0,0,0,0.24,0.0
184118,I'm not happy with this place not the dr. The staff is very rude and have poor bed side manner.,1,not happy place not dr staff rude poor bed manner,"['not', 'not happy', 'not happy place', 'not happy place not', 'not happy place not dr', 'not happy place not dr staff', 'not happy place not dr staff rude', 'not happy place not dr staff rude poor', 'not happy place not dr staff rude poor bed', 'not happy place not dr staff rude poor bed manner', 'happy', 'happy place', 'happy place not', 'happy place not dr', 'happy place not dr staff', 'happy place not dr staff rude', 'happy place not dr staff rude poor', 'happy place not dr staff rude poor bed', 'happy place not dr staff rude poor bed manner', 'place', 'place not', 'place not dr', 'place not dr staff', 'place not dr staff rude', 'place not dr staff rude poor', 'place not dr staff rude poor bed', 'place not dr staff rude poor bed manner', 'not', 'not dr', 'not dr staff', 'not dr staff rude', 'not dr staff rude poor', 'not dr staff rude poor bed', 'not dr staff rude poor bed manner', 'dr', 'dr staff', 'dr staff rude', 'dr staff rude poor', 'dr staff rude poor bed', 'dr staff rude poor bed manner', 'staff', 'staff rude', 'staff rude poor', 'staff rude poor bed', 'staff rude poor bed manner', 'rude', 'rude poor', 'rude poor bed', 'rude poor bed manner', 'poor', 'poor bed', 'poor bed manner', 'bed', 'bed manner', 'manner']",0,0,1,0,0,0,0.0307692307692307,0.0
102852,"Her personality is bright, warm, and wonderful -- both she and her nurse have great bedside manner.",0,personality bright warm fantastic nurse great bedside manner,"['personality', 'personality bright', 'personality bright warm', 'personality bright warm fantastic', 'personality bright warm fantastic nurse', 'personality bright warm fantastic nurse great', 'personality bright warm fantastic nurse great bedside', 'personality bright warm fantastic nurse great bedside manner', 'bright', 'bright warm', 'bright warm fantastic', 'bright warm fantastic nurse', 'bright warm fantastic nurse great', 'bright warm fantastic nurse great bedside', 'bright warm fantastic nurse great bedside manner', 'warm', 'warm fantastic', 'warm fantastic nurse', 'warm fantastic nurse great', 'warm fantastic nurse great bedside', 'warm fantastic nurse great bedside manner', 'fantastic', 'fantastic nurse', 'fantastic nurse great', 'fantastic nurse great bedside', 'fantastic nurse great bedside manner', 'nurse', 'nurse great', 'nurse great bedside', 'nurse great bedside manner', 'great', 'great bedside', 'great bedside manner', 'bedside', 'bedside manner', 'manner']",1,1,1,0,0,0,0.1304347826086956,0.0
128719,Dr Beights has a bedside manner that you normally don?t see in Drs these days..,0,bedside manner normally dry day,"['bedside', 'bedside manner', 'bedside manner normally', 'bedside manner normally dry', 'bedside manner normally dry day', 'manner', 'manner normally', 'manner normally dry', 'manner normally dry day', 'normally', 'normally dry', 'normally dry day', 'dry', 'dry day', 'day']",1,1,1,0,0,0,0.24,0.0
97029,His advice is usually practical,0,advice normally practical,"['advice', 'advice normally', 'advice normally practical', 'normally', 'normally practical', 'practical']",0,0,0,0,0,1,0.125,0.0
97166,"Nurse Toni is the best, she knows how to be gentle when it's needed.",0,nurse tone good know gentle need,"['nurse', 'nurse tone', 'nurse tone good', 'nurse tone good know', 'nurse tone good know gentle', 'nurse tone good know gentle need', 'tone', 'tone good', 'tone good know', 'tone good know gentle', 'tone good know gentle need', 'good', 'good know', 'good know gentle', 'good know gentle need', 'know', 'know gentle', 'know gentle need', 'gentle', 'gentle need', 'need']",0,0,0,0,1,0,0.064516129032258,0.0
140165,THIS WAS THE BEST OB/GYN VISIT I HAVE EVER EXPERIENCED SO GENTLE WITH SUCH PROFESSIONALISM.,0,good obey visit experience gentle professionalism,"['good', 'good obey', 'good obey visit', 'good obey visit experience', 'good obey visit experience gentle', 'good obey visit experience gentle professionalism', 'obey', 'obey visit', 'obey visit experience', 'obey visit experience gentle', 'obey visit experience gentle professionalism', 'visit', 'visit experience', 'visit experience gentle', 'visit experience gentle professionalism', 'experience', 'experience gentle', 'experience gentle professionalism', 'gentle', 'gentle professionalism', 'professionalism']",0,0,0,0,1,0,0.064516129032258,0.0
178829,I've managed to get in to be seen within a timely manner even without an appointment.,0,manage see timely manner appointment,"['manage', 'manage see', 'manage see timely', 'manage see timely manner', 'manage see timely manner appointment', 'see', 'see timely', 'see timely manner', 'see timely manner appointment', 'timely', 'timely manner', 'timely manner appointment', 'manner', 'manner appointment', 'appointment']",0,0,1,0,0,0,0.08,0.0
160096,"I don?t however believe I should?ve been treated in a demeaning, passive aggressive, condescending manner.",1,believe treat mean passive aggressive condescend manner,"['believe', 'believe treat', 'believe treat mean', 'believe treat mean passive', 'believe treat mean passive aggressive', 'believe treat mean passive aggressive condescend', 'believe treat mean passive aggressive condescend manner', 'treat', 'treat mean', 'treat mean passive', 'treat mean passive aggressive', 'treat mean passive aggressive condescend', 'treat mean passive aggressive condescend manner', 'mean', 'mean passive', 'mean passive aggressive', 'mean passive aggressive condescend', 'mean passive aggressive condescend manner', 'passive', 'passive aggressive', 'passive aggressive condescend', 'passive aggressive condescend manner', 'aggressive', 'aggressive condescend', 'aggressive condescend manner', 'condescend', 'condescend manner', 'manner']",0,0,1,0,0,0,0.0526315789473684,0.0
81830,His bedside manner was trivializing.,1,bedside manner trivialize,"['bedside', 'bedside manner', 'bedside manner trivialize', 'manner', 'manner trivialize', 'trivialize']",1,1,1,0,0,0,0.375,0.0
90533,Dr. White has an amazing bedside manner.,0,amaze bedside manner,"['amaze', 'amaze bedside', 'amaze bedside manner', 'bedside', 'bedside manner', 'manner']",1,1,1,0,0,0,0.375,0.0
59919,He explained things in a very clear manner.,0,explain thing clear manner,"['explain', 'explain thing', 'explain thing clear', 'explain thing clear manner', 'thing', 'thing clear', 'thing clear manner', 'clear', 'clear manner', 'manner']",0,0,1,0,0,0,0.1,0.0
87654,so gentle I barely know he is working in my mouth.,0,gentle barely know work mouth,"['gentle', 'gentle barely', 'gentle barely know', 'gentle barely know work', 'gentle barely know work mouth', 'barely', 'barely know', 'barely know work', 'barely know work mouth', 'know', 'know work', 'know work mouth', 'work', 'work mouth', 'mouth']",0,0,0,0,1,0,0.08,0.0
102557,"He also has a great bedside manner, I recommend Dr Greller highly.",0,great bedside manner recommend highly,"['great', 'great bedside', 'great bedside manner', 'great bedside manner recommend', 'great bedside manner recommend highly', 'bedside', 'bedside manner', 'bedside manner recommend', 'bedside manner recommend highly', 'manner', 'manner recommend', 'manner recommend highly', 'recommend', 'recommend highly', 'highly']",1,1,1,0,0,0,0.24,0.0
102853,"Her personality is bright, warm, and wonderful -- both she and her nurse have great bedside manner.",0,personality bright warm fantastic nurse great bedside manner,"['personality', 'personality bright', 'personality bright warm', 'personality bright warm fantastic', 'personality bright warm fantastic nurse', 'personality bright warm fantastic nurse great', 'personality bright warm fantastic nurse great bedside', 'personality bright warm fantastic nurse great bedside manner', 'bright', 'bright warm', 'bright warm fantastic', 'bright warm fantastic nurse', 'bright warm fantastic nurse great', 'bright warm fantastic nurse great bedside', 'bright warm fantastic nurse great bedside manner', 'warm', 'warm fantastic', 'warm fantastic nurse', 'warm fantastic nurse great', 'warm fantastic nurse great bedside', 'warm fantastic nurse great bedside manner', 'fantastic', 'fantastic nurse', 'fantastic nurse great', 'fantastic nurse great bedside', 'fantastic nurse great bedside manner', 'nurse', 'nurse great', 'nurse great bedside', 'nurse great bedside manner', 'great', 'great bedside', 'great bedside manner', 'bedside', 'bedside manner', 'manner']",1,1,1,0,0,0,0.1304347826086956,0.0
148603,Incredibly unprofessional and I?ll mannered.,1,incredibly professional ill manner,"['incredibly', 'incredibly professional', 'incredibly professional ill', 'incredibly professional ill manner', 'professional', 'professional ill', 'professional ill manner', 'ill', 'ill manner', 'manner']",0,0,1,0,0,0,0.1,0.0
179045,His bedside manner is garbage.,1,bedside manner garage,"['bedside', 'bedside manner', 'bedside manner garage', 'manner', 'manner garage', 'garage']",1,1,1,0,0,0,0.375,0.0
156309,so much time to process) and sends a bill in a grossly untimely manner.,1,time process send bill grossly untimely manner,"['time', 'time process', 'time process send', 'time process send bill', 'time process send bill grossly', 'time process send bill grossly untimely', 'time process send bill grossly untimely manner', 'process', 'process send', 'process send bill', 'process send bill grossly', 'process send bill grossly untimely', 'process send bill grossly untimely manner', 'send', 'send bill', 'send bill grossly', 'send bill grossly untimely', 'send bill grossly untimely manner', 'bill', 'bill grossly', 'bill grossly untimely', 'bill grossly untimely manner', 'grossly', 'grossly untimely', 'grossly untimely manner', 'untimely', 'untimely manner', 'manner']",0,0,1,0,0,0,0.0526315789473684,0.0
120732,"Excellent bedside manner, very pleased.",0,excellent bedside manner please,"['excellent', 'excellent bedside', 'excellent bedside manner', 'excellent bedside manner please', 'bedside', 'bedside manner', 'bedside manner please', 'manner', 'manner please', 'please']",1,1,1,0,0,0,0.3,0.0
158050,He really needs to humble himself and gave better bedside mannerisms and LISTEN to the patient.,1,need humble give good bedside mannerism listen patient,"['need', 'need humble', 'need humble give', 'need humble give good', 'need humble give good bedside', 'need humble give good bedside mannerism', 'need humble give good bedside mannerism listen', 'need humble give good bedside mannerism listen patient', 'humble', 'humble give', 'humble give good', 'humble give good bedside', 'humble give good bedside mannerism', 'humble give good bedside mannerism listen', 'humble give good bedside mannerism listen patient', 'give', 'give good', 'give good bedside', 'give good bedside mannerism', 'give good bedside mannerism listen', 'give good bedside mannerism listen patient', 'good', 'good bedside', 'good bedside mannerism', 'good bedside mannerism listen', 'good bedside mannerism listen patient', 'bedside', 'bedside mannerism', 'bedside mannerism listen', 'bedside mannerism listen patient', 'mannerism', 'mannerism listen', 'mannerism listen patient', 'listen', 'listen patient', 'patient']",1,0,0,0,0,0,0.0434782608695652,0.0
122669,"but he does not know how to speak with kindness, and he is derisive in his manner toward patients.",1,not know speak kindness derisive manner patient,"['not', 'not know', 'not know speak', 'not know speak kindness', 'not know speak kindness derisive', 'not know speak kindness derisive manner', 'not know speak kindness derisive manner patient', 'know', 'know speak', 'know speak kindness', 'know speak kindness derisive', 'know speak kindness derisive manner', 'know speak kindness derisive manner patient', 'speak', 'speak kindness', 'speak kindness derisive', 'speak kindness derisive manner', 'speak kindness derisive manner patient', 'kindness', 'kindness derisive', 'kindness derisive manner', 'kindness derisive manner patient', 'derisive', 'derisive manner', 'derisive manner patient', 'manner', 'manner patient', 'patient']",0,0,1,0,0,0,0.0526315789473684,0.0
143591,Esthetician Ellie also assisted her in the process and they were both so gentle!,0,elli assist process gentle,"['elli', 'elli assist', 'elli assist process', 'elli assist process gentle', 'assist', 'assist process', 'assist process gentle', 'process', 'process gentle', 'gentle']",0,0,0,0,1,0,0.1,0.0
131521,Their bedside manner was lovely.,0,bedside manner lovely,"['bedside', 'bedside manner', 'bedside manner lovely', 'manner', 'manner lovely', 'lovely']",1,1,1,0,0,0,0.375,0.0
72136,"Besides the fact that he is a great surgeon, I was also very impressed with his bedside manner.",0,fact great surgeon impress bedside manner,"['fact', 'fact great', 'fact great surgeon', 'fact great surgeon impress', 'fact great surgeon impress bedside', 'fact great surgeon impress bedside manner', 'great', 'great surgeon', 'great surgeon impress', 'great surgeon impress bedside', 'great surgeon impress bedside manner', 'surgeon', 'surgeon impress', 'surgeon impress bedside', 'surgeon impress bedside manner', 'impress', 'impress bedside', 'impress bedside manner', 'bedside', 'bedside manner', 'manner']",1,1,1,0,0,0,0.1935483870967742,0.0
101097,"He has a wonderful ""bed side manner"" and helps put his patients at ease with his knowledge and personality",0,fantastic bed manner help patient ease cognition personality,"['fantastic', 'fantastic bed', 'fantastic bed manner', 'fantastic bed manner help', 'fantastic bed manner help patient', 'fantastic bed manner help patient ease', 'fantastic bed manner help patient ease cognition', 'fantastic bed manner help patient ease cognition personality', 'bed', 'bed manner', 'bed manner help', 'bed manner help patient', 'bed manner help patient ease', 'bed manner help patient ease cognition', 'bed manner help patient ease cognition personality', 'manner', 'manner help', 'manner help patient', 'manner help patient ease', 'manner help patient ease cognition', 'manner help patient ease cognition personality', 'help', 'help patient', 'help patient ease', 'help patient ease cognition', 'help patient ease cognition personality', 'patient', 'patient ease', 'patient ease cognition', 'patient ease cognition personality', 'ease', 'ease cognition', 'ease cognition personality', 'cognition', 'cognition personality', 'personality']",0,0,1,0,0,0,0.0434782608695652,0.0
105731,Dr. Lloyd's heartfelt bedside manner and honest interest in our surgical case was and is appreciated!,0,manner honest interest surgical case appreciate,"['manner', 'manner honest', 'manner honest interest', 'manner honest interest surgical', 'manner honest interest surgical case', 'manner honest interest surgical case appreciate', 'honest', 'honest interest', 'honest interest surgical', 'honest interest surgical case', 'honest interest surgical case appreciate', 'interest', 'interest surgical', 'interest surgical case', 'interest surgical case appreciate', 'surgical', 'surgical case', 'surgical case appreciate', 'case', 'case appreciate', 'appreciate']",0,0,1,0,0,0,0.064516129032258,0.0
178502,The receptionists and the doctor had a warm bedside manner.,0,receptionist doctor warm bedside manner,"['receptionist', 'receptionist doctor', 'receptionist doctor warm', 'receptionist doctor warm bedside', 'receptionist doctor warm bedside manner', 'doctor', 'doctor warm', 'doctor warm bedside', 'doctor warm bedside manner', 'warm', 'warm bedside', 'warm bedside manner', 'bedside', 'bedside manner', 'manner']",1,1,1,0,0,0,0.24,0.0
87567,and practical advice.,0,practical advice,"['practical', 'practical advice', 'advice']",0,0,0,0,0,1,0.1538461538461538,0.0
130903,"Not only are his bedside manners impeccable, his knowledge in his field",0,not bedside manner implacable cognition field,"['not', 'not bedside', 'not bedside manner', 'not bedside manner implacable', 'not bedside manner implacable cognition', 'not bedside manner implacable cognition field', 'bedside', 'bedside manner', 'bedside manner implacable', 'bedside manner implacable cognition', 'bedside manner implacable cognition field', 'manner', 'manner implacable', 'manner implacable cognition', 'manner implacable cognition field', 'implacable', 'implacable cognition', 'implacable cognition field', 'cognition', 'cognition field', 'field']",1,1,1,0,0,0,0.1935483870967742,0.0
128218,Probably has the best bedside manner of anyone ive dealth with.,0,probably good bedside manner death,"['probably', 'probably good', 'probably good bedside', 'probably good bedside manner', 'probably good bedside manner death', 'good', 'good bedside', 'good bedside manner', 'good bedside manner death', 'bedside', 'bedside manner', 'bedside manner death', 'manner', 'manner death', 'death']",1,1,1,0,0,0,0.24,0.0
168112,It was my daughter's first time at the dentist and Dr. Sadrian and her assistant were incredibly gentle and welcoming.,0,daughter time dentist assistant incredibly gentle welcome,"['daughter', 'daughter time', 'daughter time dentist', 'daughter time dentist assistant', 'daughter time dentist assistant incredibly', 'daughter time dentist assistant incredibly gentle', 'daughter time dentist assistant incredibly gentle welcome', 'time', 'time dentist', 'time dentist assistant', 'time dentist assistant incredibly', 'time dentist assistant incredibly gentle', 'time dentist assistant incredibly gentle welcome', 'dentist', 'dentist assistant', 'dentist assistant incredibly', 'dentist assistant incredibly gentle', 'dentist assistant incredibly gentle welcome', 'assistant', 'assistant incredibly', 'assistant incredibly gentle', 'assistant incredibly gentle welcome', 'incredibly', 'incredibly gentle', 'incredibly gentle welcome', 'gentle', 'gentle welcome', 'welcome']",0,0,0,0,1,0,0.0526315789473684,0.0
191445,"Let me also add, after the surgery there was NO bedside.",1,let add surgery no bedside,"['let', 'let add', 'let add surgery', 'let add surgery no', 'let add surgery no bedside', 'add', 'add surgery', 'add surgery no', 'add surgery no bedside', 'surgery', 'surgery no', 'surgery no bedside', 'no', 'no bedside', 'bedside']",1,0,0,0,0,0,0.08,0.0
