commentId,comment,classification,comment_processed,word_phrase_list,deal,deal staff,staff,similarity_score
166832,"a Doctor who would tolerate his staff bullying a patient? "" Scary right?",1,doctor tolerate staff build patient scar right,"['doctor', 'doctor tolerate', 'doctor tolerate staff', 'doctor tolerate staff build', 'doctor tolerate staff build patient', 'doctor tolerate staff build patient scar', 'doctor tolerate staff build patient scar right', 'tolerate', 'tolerate staff', 'tolerate staff build', 'tolerate staff build patient', 'tolerate staff build patient scar', 'tolerate staff build patient scar right', 'staff', 'staff build', 'staff build patient', 'staff build patient scar', 'staff build patient scar right', 'build', 'build patient', 'build patient scar', 'build patient scar right', 'patient', 'patient scar', 'patient scar right', 'scar', 'scar right', 'right']",0,0,1,0.5
140496,Dr is amazing the front staff needs to learn customer service!,1,dr amaze staff need learn customer service,"['dr', 'dr amaze', 'dr amaze staff', 'dr amaze staff need', 'dr amaze staff need learn', 'dr amaze staff need learn customer', 'dr amaze staff need learn customer service', 'amaze', 'amaze staff', 'amaze staff need', 'amaze staff need learn', 'amaze staff need learn customer', 'amaze staff need learn customer service', 'staff', 'staff need', 'staff need learn', 'staff need learn customer', 'staff need learn customer service', 'need', 'need learn', 'need learn customer', 'need learn customer service', 'learn', 'learn customer', 'learn customer service', 'customer', 'customer service', 'service']",0,0,1,0.5
79028,"Staff as well, Viri and Mariela, were very patient with me and answered numerous calls",0,staff eight patient answer numerous call,"['staff', 'staff eight', 'staff eight patient', 'staff eight patient answer', 'staff eight patient answer numerous', 'staff eight patient answer numerous call', 'eight', 'eight patient', 'eight patient answer', 'eight patient answer numerous', 'eight patient answer numerous call', 'patient', 'patient answer', 'patient answer numerous', 'patient answer numerous call', 'answer', 'answer numerous', 'answer numerous call', 'numerous', 'numerous call', 'call']",0,0,1,0.5
82613,Staff consists of one very cranky lady with no concern,1,staff consist crank lady concern,"['staff', 'staff consist', 'staff consist crank', 'staff consist crank lady', 'staff consist crank lady concern', 'consist', 'consist crank', 'consist crank lady', 'consist crank lady concern', 'crank', 'crank lady', 'crank lady concern', 'lady', 'lady concern', 'concern']",0,0,1,0.5
151408,but there is absolutely a disconnect between the front office and the clinical staff.,1,absolutely discontent office clinical staff,"['absolutely', 'absolutely discontent', 'absolutely discontent office', 'absolutely discontent office clinical', 'absolutely discontent office clinical staff', 'discontent', 'discontent office', 'discontent office clinical', 'discontent office clinical staff', 'office', 'office clinical', 'office clinical staff', 'clinical', 'clinical staff', 'staff']",0,0,1,0.5
133948,Nancy Crowell is so kind and encouraging in dealing with my diabetes.,0,kind encourage deal diabetes,"['kind', 'kind encourage', 'kind encourage deal', 'kind encourage deal diabetes', 'encourage', 'encourage deal', 'encourage deal diabetes', 'deal', 'deal diabetes', 'diabetes']",1,0,0,0.5
85134,"I cannot believe how great the outcome, how wonderful the Dr. is, how great the staff",0,believe great result fantastic dr great staff,"['believe', 'believe great', 'believe great result', 'believe great result fantastic', 'believe great result fantastic dr', 'believe great result fantastic dr great', 'believe great result fantastic dr great staff', 'great', 'great result', 'great result fantastic', 'great result fantastic dr', 'great result fantastic dr great', 'great result fantastic dr great staff', 'result', 'result fantastic', 'result fantastic dr', 'result fantastic dr great', 'result fantastic dr great staff', 'fantastic', 'fantastic dr', 'fantastic dr great', 'fantastic dr great staff', 'dr', 'dr great', 'dr great staff', 'great', 'great staff', 'staff']",0,0,1,0.5
88880,I watched him berate a staff member in front of many people.,1,watch staff member people,"['watch', 'watch staff', 'watch staff member', 'watch staff member people', 'staff', 'staff member', 'staff member people', 'member', 'member people', 'people']",0,0,1,0.5
90890,Great doctor and office staff punctual,0,great doctor office staff puncture,"['great', 'great doctor', 'great doctor office', 'great doctor office staff', 'great doctor office staff puncture', 'doctor', 'doctor office', 'doctor office staff', 'doctor office staff puncture', 'office', 'office staff', 'office staff puncture', 'staff', 'staff puncture', 'puncture']",0,0,1,0.5
144757,and the front desk staff AND both medical professionals I have seen could CARE LESS!,1,desk staff medical professional see care,"['desk', 'desk staff', 'desk staff medical', 'desk staff medical professional', 'desk staff medical professional see', 'desk staff medical professional see care', 'staff', 'staff medical', 'staff medical professional', 'staff medical professional see', 'staff medical professional see care', 'medical', 'medical professional', 'medical professional see', 'medical professional see care', 'professional', 'professional see', 'professional see care', 'see', 'see care', 'care']",0,0,1,0.5
122165,The best staff members The best patient communication portal.,0,good staff member good patient communication portal,"['good', 'good staff', 'good staff member', 'good staff member good', 'good staff member good patient', 'good staff member good patient communication', 'good staff member good patient communication portal', 'staff', 'staff member', 'staff member good', 'staff member good patient', 'staff member good patient communication', 'staff member good patient communication portal', 'member', 'member good', 'member good patient', 'member good patient communication', 'member good patient communication portal', 'good', 'good patient', 'good patient communication', 'good patient communication portal', 'patient', 'patient communication', 'patient communication portal', 'communication', 'communication portal', 'portal']",0,0,1,0.5
149341,"Both the Oregon City and Tualitin staff and medical teams have treated me with humor, kindness and professionalism.",0,city tualitin staff medical tear treat humor kindness professionalism,"['city', 'city tualitin', 'city tualitin staff', 'city tualitin staff medical', 'city tualitin staff medical tear', 'city tualitin staff medical tear treat', 'city tualitin staff medical tear treat humor', 'city tualitin staff medical tear treat humor kindness', 'city tualitin staff medical tear treat humor kindness professionalism', 'tualitin', 'tualitin staff', 'tualitin staff medical', 'tualitin staff medical tear', 'tualitin staff medical tear treat', 'tualitin staff medical tear treat humor', 'tualitin staff medical tear treat humor kindness', 'tualitin staff medical tear treat humor kindness professionalism', 'staff', 'staff medical', 'staff medical tear', 'staff medical tear treat', 'staff medical tear treat humor', 'staff medical tear treat humor kindness', 'staff medical tear treat humor kindness professionalism', 'medical', 'medical tear', 'medical tear treat', 'medical tear treat humor', 'medical tear treat humor kindness', 'medical tear treat humor kindness professionalism', 'tear', 'tear treat', 'tear treat humor', 'tear treat humor kindness', 'tear treat humor kindness professionalism', 'treat', 'treat humor', 'treat humor kindness', 'treat humor kindness professionalism', 'humor', 'humor kindness', 'humor kindness professionalism', 'kindness', 'kindness professionalism', 'professionalism']",0,0,1,0.5
69547,"I was warmly greeted by his staff, who assisted me in paperwork and starting the whole consultation process.",0,warmly greet staff assist paperwork start consultation process,"['warmly', 'warmly greet', 'warmly greet staff', 'warmly greet staff assist', 'warmly greet staff assist paperwork', 'warmly greet staff assist paperwork start', 'warmly greet staff assist paperwork start consultation', 'warmly greet staff assist paperwork start consultation process', 'greet', 'greet staff', 'greet staff assist', 'greet staff assist paperwork', 'greet staff assist paperwork start', 'greet staff assist paperwork start consultation', 'greet staff assist paperwork start consultation process', 'staff', 'staff assist', 'staff assist paperwork', 'staff assist paperwork start', 'staff assist paperwork start consultation', 'staff assist paperwork start consultation process', 'assist', 'assist paperwork', 'assist paperwork start', 'assist paperwork start consultation', 'assist paperwork start consultation process', 'paperwork', 'paperwork start', 'paperwork start consultation', 'paperwork start consultation process', 'start', 'start consultation', 'start consultation process', 'consultation', 'consultation process', 'process']",0,0,1,0.5
111656,"Totally unprofessional, highly unorganized staff, have been straight out lied to multiple times.",1,wholly professional highly unorganized staff straight lie multiple time,"['wholly', 'wholly professional', 'wholly professional highly', 'wholly professional highly unorganized', 'wholly professional highly unorganized staff', 'wholly professional highly unorganized staff straight', 'wholly professional highly unorganized staff straight lie', 'wholly professional highly unorganized staff straight lie multiple', 'wholly professional highly unorganized staff straight lie multiple time', 'professional', 'professional highly', 'professional highly unorganized', 'professional highly unorganized staff', 'professional highly unorganized staff straight', 'professional highly unorganized staff straight lie', 'professional highly unorganized staff straight lie multiple', 'professional highly unorganized staff straight lie multiple time', 'highly', 'highly unorganized', 'highly unorganized staff', 'highly unorganized staff straight', 'highly unorganized staff straight lie', 'highly unorganized staff straight lie multiple', 'highly unorganized staff straight lie multiple time', 'unorganized', 'unorganized staff', 'unorganized staff straight', 'unorganized staff straight lie', 'unorganized staff straight lie multiple', 'unorganized staff straight lie multiple time', 'staff', 'staff straight', 'staff straight lie', 'staff straight lie multiple', 'staff straight lie multiple time', 'straight', 'straight lie', 'straight lie multiple', 'straight lie multiple time', 'lie', 'lie multiple', 'lie multiple time', 'multiple', 'multiple time', 'time']",0,0,1,0.5
135698,that the girls from his staff are beautiful ppl inside and oustide they were caress and kind all the time,0,girl staff beautiful pp inside outside caress kind time,"['girl', 'girl staff', 'girl staff beautiful', 'girl staff beautiful pp', 'girl staff beautiful pp inside', 'girl staff beautiful pp inside outside', 'girl staff beautiful pp inside outside caress', 'girl staff beautiful pp inside outside caress kind', 'girl staff beautiful pp inside outside caress kind time', 'staff', 'staff beautiful', 'staff beautiful pp', 'staff beautiful pp inside', 'staff beautiful pp inside outside', 'staff beautiful pp inside outside caress', 'staff beautiful pp inside outside caress kind', 'staff beautiful pp inside outside caress kind time', 'beautiful', 'beautiful pp', 'beautiful pp inside', 'beautiful pp inside outside', 'beautiful pp inside outside caress', 'beautiful pp inside outside caress kind', 'beautiful pp inside outside caress kind time', 'pp', 'pp inside', 'pp inside outside', 'pp inside outside caress', 'pp inside outside caress kind', 'pp inside outside caress kind time', 'inside', 'inside outside', 'inside outside caress', 'inside outside caress kind', 'inside outside caress kind time', 'outside', 'outside caress', 'outside caress kind', 'outside caress kind time', 'caress', 'caress kind', 'caress kind time', 'kind', 'kind time', 'time']",0,0,1,0.5
118704,I'm glad that my delay didn't make the staff great me any different they didn't pressure me at all.,0,m glad delay staff great different pressure,"['m', 'm glad', 'm glad delay', 'm glad delay staff', 'm glad delay staff great', 'm glad delay staff great different', 'm glad delay staff great different pressure', 'glad', 'glad delay', 'glad delay staff', 'glad delay staff great', 'glad delay staff great different', 'glad delay staff great different pressure', 'delay', 'delay staff', 'delay staff great', 'delay staff great different', 'delay staff great different pressure', 'staff', 'staff great', 'staff great different', 'staff great different pressure', 'great', 'great different', 'great different pressure', 'different', 'different pressure', 'pressure']",0,0,1,0.5
118535,Dr. Hamawy and his staff were absolutely amazing throughout my experiences with them!,0,dr hamawy staff absolutely amaze experience,"['dr', 'dr hamawy', 'dr hamawy staff', 'dr hamawy staff absolutely', 'dr hamawy staff absolutely amaze', 'dr hamawy staff absolutely amaze experience', 'hamawy', 'hamawy staff', 'hamawy staff absolutely', 'hamawy staff absolutely amaze', 'hamawy staff absolutely amaze experience', 'staff', 'staff absolutely', 'staff absolutely amaze', 'staff absolutely amaze experience', 'absolutely', 'absolutely amaze', 'absolutely amaze experience', 'amaze', 'amaze experience', 'experience']",0,0,1,0.5
177117,Lots of memories with your oldest staff members!!,0,lot memory old staff member,"['lot', 'lot memory', 'lot memory old', 'lot memory old staff', 'lot memory old staff member', 'memory', 'memory old', 'memory old staff', 'memory old staff member', 'old', 'old staff', 'old staff member', 'staff', 'staff member', 'member']",0,0,1,0.5
141822,The staff helped with all my skin care needs.,0,staff help skin care need,"['staff', 'staff help', 'staff help skin', 'staff help skin care', 'staff help skin care need', 'help', 'help skin', 'help skin care', 'help skin care need', 'skin', 'skin care', 'skin care need', 'care', 'care need', 'need']",0,0,1,0.5
87121,If you happen to get a live person (apparently by accident) the staff will hang up.,1,happen live person apparently accident staff hang,"['happen', 'happen live', 'happen live person', 'happen live person apparently', 'happen live person apparently accident', 'happen live person apparently accident staff', 'happen live person apparently accident staff hang', 'live', 'live person', 'live person apparently', 'live person apparently accident', 'live person apparently accident staff', 'live person apparently accident staff hang', 'person', 'person apparently', 'person apparently accident', 'person apparently accident staff', 'person apparently accident staff hang', 'apparently', 'apparently accident', 'apparently accident staff', 'apparently accident staff hang', 'accident', 'accident staff', 'accident staff hang', 'staff', 'staff hang', 'hang']",0,0,1,0.5
117292,I've been waiting over 6 months for the office staff to submit paperwork that I turned in.,1,ve wait office staff submit paperwork turn,"['ve', 've wait', 've wait office', 've wait office staff', 've wait office staff submit', 've wait office staff submit paperwork', 've wait office staff submit paperwork turn', 'wait', 'wait office', 'wait office staff', 'wait office staff submit', 'wait office staff submit paperwork', 'wait office staff submit paperwork turn', 'office', 'office staff', 'office staff submit', 'office staff submit paperwork', 'office staff submit paperwork turn', 'staff', 'staff submit', 'staff submit paperwork', 'staff submit paperwork turn', 'submit', 'submit paperwork', 'submit paperwork turn', 'paperwork', 'paperwork turn', 'turn']",0,0,1,0.5
103018,and time again because his staff is always so welcoming an kind.,0,time staff welcome kind,"['time', 'time staff', 'time staff welcome', 'time staff welcome kind', 'staff', 'staff welcome', 'staff welcome kind', 'welcome', 'welcome kind', 'kind']",0,0,1,0.5
140582,"and she tried to reach out to me, i am satisfied with the care i received from all the staff I interacted with.",0,try reach satisfy care receive staff interest,"['try', 'try reach', 'try reach satisfy', 'try reach satisfy care', 'try reach satisfy care receive', 'try reach satisfy care receive staff', 'try reach satisfy care receive staff interest', 'reach', 'reach satisfy', 'reach satisfy care', 'reach satisfy care receive', 'reach satisfy care receive staff', 'reach satisfy care receive staff interest', 'satisfy', 'satisfy care', 'satisfy care receive', 'satisfy care receive staff', 'satisfy care receive staff interest', 'care', 'care receive', 'care receive staff', 'care receive staff interest', 'receive', 'receive staff', 'receive staff interest', 'staff', 'staff interest', 'interest']",0,0,1,0.5
115019,Dr. Hardy and her staff were great!!,0,staff great,"['staff', 'staff great', 'great']",0,0,1,0.5
94917,"World Class Surgeon, World Class Staff, World Class Hospital, World Class Surgery.I had a lumbar fusion with cage implantation with titanium screws.",0,world class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic screw,"['world', 'world class', 'world class surgeon', 'world class surgeon world', 'world class surgeon world class', 'world class surgeon world class staff', 'world class surgeon world class staff world', 'world class surgeon world class staff world class', 'world class surgeon world class staff world class hospital', 'world class surgeon world class staff world class hospital world', 'world class surgeon world class staff world class hospital world class', 'world class surgeon world class staff world class hospital world class surgery', 'world class surgeon world class staff world class hospital world class surgery lumbar', 'world class surgeon world class staff world class hospital world class surgery lumbar fusion', 'world class surgeon world class staff world class hospital world class surgery lumbar fusion cage', 'world class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation', 'world class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic', 'world class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'class', 'class surgeon', 'class surgeon world', 'class surgeon world class', 'class surgeon world class staff', 'class surgeon world class staff world', 'class surgeon world class staff world class', 'class surgeon world class staff world class hospital', 'class surgeon world class staff world class hospital world', 'class surgeon world class staff world class hospital world class', 'class surgeon world class staff world class hospital world class surgery', 'class surgeon world class staff world class hospital world class surgery lumbar', 'class surgeon world class staff world class hospital world class surgery lumbar fusion', 'class surgeon world class staff world class hospital world class surgery lumbar fusion cage', 'class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation', 'class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic', 'class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'surgeon', 'surgeon world', 'surgeon world class', 'surgeon world class staff', 'surgeon world class staff world', 'surgeon world class staff world class', 'surgeon world class staff world class hospital', 'surgeon world class staff world class hospital world', 'surgeon world class staff world class hospital world class', 'surgeon world class staff world class hospital world class surgery', 'surgeon world class staff world class hospital world class surgery lumbar', 'surgeon world class staff world class hospital world class surgery lumbar fusion', 'surgeon world class staff world class hospital world class surgery lumbar fusion cage', 'surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation', 'surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic', 'surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'world', 'world class', 'world class staff', 'world class staff world', 'world class staff world class', 'world class staff world class hospital', 'world class staff world class hospital world', 'world class staff world class hospital world class', 'world class staff world class hospital world class surgery', 'world class staff world class hospital world class surgery lumbar', 'world class staff world class hospital world class surgery lumbar fusion', 'world class staff world class hospital world class surgery lumbar fusion cage', 'world class staff world class hospital world class surgery lumbar fusion cage implantation', 'world class staff world class hospital world class surgery lumbar fusion cage implantation titanic', 'world class staff world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'class', 'class staff', 'class staff world', 'class staff world class', 'class staff world class hospital', 'class staff world class hospital world', 'class staff world class hospital world class', 'class staff world class hospital world class surgery', 'class staff world class hospital world class surgery lumbar', 'class staff world class hospital world class surgery lumbar fusion', 'class staff world class hospital world class surgery lumbar fusion cage', 'class staff world class hospital world class surgery lumbar fusion cage implantation', 'class staff world class hospital world class surgery lumbar fusion cage implantation titanic', 'class staff world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'staff', 'staff world', 'staff world class', 'staff world class hospital', 'staff world class hospital world', 'staff world class hospital world class', 'staff world class hospital world class surgery', 'staff world class hospital world class surgery lumbar', 'staff world class hospital world class surgery lumbar fusion', 'staff world class hospital world class surgery lumbar fusion cage', 'staff world class hospital world class surgery lumbar fusion cage implantation', 'staff world class hospital world class surgery lumbar fusion cage implantation titanic', 'staff world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'world', 'world class', 'world class hospital', 'world class hospital world', 'world class hospital world class', 'world class hospital world class surgery', 'world class hospital world class surgery lumbar', 'world class hospital world class surgery lumbar fusion', 'world class hospital world class surgery lumbar fusion cage', 'world class hospital world class surgery lumbar fusion cage implantation', 'world class hospital world class surgery lumbar fusion cage implantation titanic', 'world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'class', 'class hospital', 'class hospital world', 'class hospital world class', 'class hospital world class surgery', 'class hospital world class surgery lumbar', 'class hospital world class surgery lumbar fusion', 'class hospital world class surgery lumbar fusion cage', 'class hospital world class surgery lumbar fusion cage implantation', 'class hospital world class surgery lumbar fusion cage implantation titanic', 'class hospital world class surgery lumbar fusion cage implantation titanic screw', 'hospital', 'hospital world', 'hospital world class', 'hospital world class surgery', 'hospital world class surgery lumbar', 'hospital world class surgery lumbar fusion', 'hospital world class surgery lumbar fusion cage', 'hospital world class surgery lumbar fusion cage implantation', 'hospital world class surgery lumbar fusion cage implantation titanic', 'hospital world class surgery lumbar fusion cage implantation titanic screw', 'world', 'world class', 'world class surgery', 'world class surgery lumbar', 'world class surgery lumbar fusion', 'world class surgery lumbar fusion cage', 'world class surgery lumbar fusion cage implantation', 'world class surgery lumbar fusion cage implantation titanic', 'world class surgery lumbar fusion cage implantation titanic screw', 'class', 'class surgery', 'class surgery lumbar', 'class surgery lumbar fusion', 'class surgery lumbar fusion cage', 'class surgery lumbar fusion cage implantation', 'class surgery lumbar fusion cage implantation titanic', 'class surgery lumbar fusion cage implantation titanic screw', 'surgery', 'surgery lumbar', 'surgery lumbar fusion', 'surgery lumbar fusion cage', 'surgery lumbar fusion cage implantation', 'surgery lumbar fusion cage implantation titanic', 'surgery lumbar fusion cage implantation titanic screw', 'lumbar', 'lumbar fusion', 'lumbar fusion cage', 'lumbar fusion cage implantation', 'lumbar fusion cage implantation titanic', 'lumbar fusion cage implantation titanic screw', 'fusion', 'fusion cage', 'fusion cage implantation', 'fusion cage implantation titanic', 'fusion cage implantation titanic screw', 'cage', 'cage implantation', 'cage implantation titanic', 'cage implantation titanic screw', 'implantation', 'implantation titanic', 'implantation titanic screw', 'titanic', 'titanic screw', 'screw']",0,0,1,0.5
90947,"but positive, supportive, and informative guidance from the doctors and staff.",0,positive suppurative information guidance doctor staff,"['positive', 'positive suppurative', 'positive suppurative information', 'positive suppurative information guidance', 'positive suppurative information guidance doctor', 'positive suppurative information guidance doctor staff', 'suppurative', 'suppurative information', 'suppurative information guidance', 'suppurative information guidance doctor', 'suppurative information guidance doctor staff', 'information', 'information guidance', 'information guidance doctor', 'information guidance doctor staff', 'guidance', 'guidance doctor', 'guidance doctor staff', 'doctor', 'doctor staff', 'staff']",0,0,1,0.5
91556,I highly recommend Dr. Greenberg and his qualified staff,0,highly recommend qualify staff,"['highly', 'highly recommend', 'highly recommend qualify', 'highly recommend qualify staff', 'recommend', 'recommend qualify', 'recommend qualify staff', 'qualify', 'qualify staff', 'staff']",0,0,1,0.5
151940,"The staff and nurses are passionate about what they do, and it shows.",0,staff nurse passionate show,"['staff', 'staff nurse', 'staff nurse passionate', 'staff nurse passionate show', 'nurse', 'nurse passionate', 'nurse passionate show', 'passionate', 'passionate show', 'show']",0,0,1,0.5
105544,The staff are totally toxic and poorly trained.,1,staff wholly toxic poorly train,"['staff', 'staff wholly', 'staff wholly toxic', 'staff wholly toxic poorly', 'staff wholly toxic poorly train', 'wholly', 'wholly toxic', 'wholly toxic poorly', 'wholly toxic poorly train', 'toxic', 'toxic poorly', 'toxic poorly train', 'poorly', 'poorly train', 'train']",0,0,1,0.5
99820,I cannot say enough good things about him and his staff.,0,good thing staff,"['good', 'good thing', 'good thing staff', 'thing', 'thing staff', 'staff']",0,0,1,0.5
130446,The staff is always so pleasant in person and by phone.,0,staff pleasant person phone,"['staff', 'staff pleasant', 'staff pleasant person', 'staff pleasant person phone', 'pleasant', 'pleasant person', 'pleasant person phone', 'person', 'person phone', 'phone']",0,0,1,0.5
