commentId,comment,classification,comment_processed,word_phrase_list,needle,please,similarity_score
116295,"So, it was like having tiny needles injected into your veins every 8 hours.",1,like have bantam needle inject vein,"['like', 'like have', 'like have bantam', 'like have bantam needle', 'like have bantam needle inject', 'like have bantam needle inject vein', 'have', 'have bantam', 'have bantam needle', 'have bantam needle inject', 'have bantam needle inject vein', 'bantam', 'bantam needle', 'bantam needle inject', 'bantam needle inject vein', 'needle', 'needle inject', 'needle inject vein', 'inject', 'inject vein', 'vein']",1,0,0.3846153846153846
100639,I am so pleased with my entire experience.,0,please entire experience,"['please', 'please entire', 'please entire experience', 'entire', 'entire experience', 'experience']",0,1,0.3846153846153846
130421,Surgery went well with no complications and I'm very pleased with the entire experience.,0,surgery go complication m please entire experience,"['surgery', 'surgery go', 'surgery go complication', 'surgery go complication m', 'surgery go complication m please', 'surgery go complication m please entire', 'surgery go complication m please entire experience', 'go', 'go complication', 'go complication m', 'go complication m please', 'go complication m please entire', 'go complication m please entire experience', 'complication', 'complication m', 'complication m please', 'complication m please entire', 'complication m please entire experience', 'm', 'm please', 'm please entire', 'm please entire experience', 'please', 'please entire', 'please entire experience', 'entire', 'entire experience', 'experience']",0,1,0.3846153846153846
97981,I most pleased with Dr.Boon's personal updates via cellular phone.,0,please dragoon personal update cellular phone,"['please', 'please dragoon', 'please dragoon personal', 'please dragoon personal update', 'please dragoon personal update cellular', 'please dragoon personal update cellular phone', 'dragoon', 'dragoon personal', 'dragoon personal update', 'dragoon personal update cellular', 'dragoon personal update cellular phone', 'personal', 'personal update', 'personal update cellular', 'personal update cellular phone', 'update', 'update cellular', 'update cellular phone', 'cellular', 'cellular phone', 'phone']",0,1,0.3846153846153846
96396,"I had surgery about 7 months ago, and I am pleased with outcome",0,surgery please result,"['surgery', 'surgery please', 'surgery please result', 'please', 'please result', 'result']",0,1,0.3846153846153846
160017,Yoko is an artist with her tiny needle.,0,artist bantam needle,"['artist', 'artist bantam', 'artist bantam needle', 'bantam', 'bantam needle', 'needle']",1,0,0.3846153846153846
122579,My wife and I are very pleased with our choice of physician we chose for the specific procedures.,0,wife please choice doctor choose specific procedure,"['wife', 'wife please', 'wife please choice', 'wife please choice doctor', 'wife please choice doctor choose', 'wife please choice doctor choose specific', 'wife please choice doctor choose specific procedure', 'please', 'please choice', 'please choice doctor', 'please choice doctor choose', 'please choice doctor choose specific', 'please choice doctor choose specific procedure', 'choice', 'choice doctor', 'choice doctor choose', 'choice doctor choose specific', 'choice doctor choose specific procedure', 'doctor', 'doctor choose', 'doctor choose specific', 'doctor choose specific procedure', 'choose', 'choose specific', 'choose specific procedure', 'specific', 'specific procedure', 'procedure']",0,1,0.3846153846153846
142773,I have been extremely pleased since I started coming here a couple years ago.,0,extremely please start come,"['extremely', 'extremely please', 'extremely please start', 'extremely please start come', 'please', 'please start', 'please start come', 'start', 'start come', 'come']",0,1,0.3846153846153846
164857,We are not finished with all the work I need but I know that I will be pleased.,0,finish work need know please,"['finish', 'finish work', 'finish work need', 'finish work need know', 'finish work need know please', 'work', 'work need', 'work need know', 'work need know please', 'need', 'need know', 'need know please', 'know', 'know please', 'please']",0,1,0.3846153846153846
155814,I had Lynn and she was so sweet and handled my fear of needles like a pro!,0,sweet handle fear needle like pro,"['sweet', 'sweet handle', 'sweet handle fear', 'sweet handle fear needle', 'sweet handle fear needle like', 'sweet handle fear needle like pro', 'handle', 'handle fear', 'handle fear needle', 'handle fear needle like', 'handle fear needle like pro', 'fear', 'fear needle', 'fear needle like', 'fear needle like pro', 'needle', 'needle like', 'needle like pro', 'like', 'like pro', 'pro']",1,0,0.3846153846153846
118281,Plus she keeps dropping everything and the needles.,1,plus keep drop needle,"['plus', 'plus keep', 'plus keep drop', 'plus keep drop needle', 'keep', 'keep drop', 'keep drop needle', 'drop', 'drop needle', 'needle']",1,0,0.3846153846153846
58979,I was pleased with the overall experience.,0,please overall experience,"['please', 'please overall', 'please overall experience', 'overall', 'overall experience', 'experience']",0,1,0.3846153846153846
160864,I trusted Dr. Parekattil and his staff and could not be more pleased.,0,trust dr parekattil staff please,"['trust', 'trust dr', 'trust dr parekattil', 'trust dr parekattil staff', 'trust dr parekattil staff please', 'dr', 'dr parekattil', 'dr parekattil staff', 'dr parekattil staff please', 'parekattil', 'parekattil staff', 'parekattil staff please', 'staff', 'staff please', 'please']",0,1,0.3846153846153846
114355,"Although still swollen, I am so pleased with the results already!",0,swell please result,"['swell', 'swell please', 'swell please result', 'please', 'please result', 'result']",0,1,0.3846153846153846
60276,I was pleased at what he had to tell me,0,please tell,"['please', 'please tell', 'tell']",0,1,0.3846153846153846
170854,I got the IV drip therapy and it was really a pleasant experience for someone who isn't used to needles.,0,get four drip therapy pleasant experience needle,"['get', 'get four', 'get four drip', 'get four drip therapy', 'get four drip therapy pleasant', 'get four drip therapy pleasant experience', 'get four drip therapy pleasant experience needle', 'four', 'four drip', 'four drip therapy', 'four drip therapy pleasant', 'four drip therapy pleasant experience', 'four drip therapy pleasant experience needle', 'drip', 'drip therapy', 'drip therapy pleasant', 'drip therapy pleasant experience', 'drip therapy pleasant experience needle', 'therapy', 'therapy pleasant', 'therapy pleasant experience', 'therapy pleasant experience needle', 'pleasant', 'pleasant experience', 'pleasant experience needle', 'experience', 'experience needle', 'needle']",1,0,0.3846153846153846
112478,I've had variety of services done with Cindy and have been more than pleased with all them.,0,ve variety service windy please,"['ve', 've variety', 've variety service', 've variety service windy', 've variety service windy please', 'variety', 'variety service', 'variety service windy', 'variety service windy please', 'service', 'service windy', 'service windy please', 'windy', 'windy please', 'please']",0,1,0.3846153846153846
66667,We are extremely pleased as a family.,0,extremely please family,"['extremely', 'extremely please', 'extremely please family', 'please', 'please family', 'family']",0,1,0.3846153846153846
59356,He explained everything carefully and I have been extremely pleased with everything concerning this doctor.,0,explain carefully extremely please concern doctor,"['explain', 'explain carefully', 'explain carefully extremely', 'explain carefully extremely please', 'explain carefully extremely please concern', 'explain carefully extremely please concern doctor', 'carefully', 'carefully extremely', 'carefully extremely please', 'carefully extremely please concern', 'carefully extremely please concern doctor', 'extremely', 'extremely please', 'extremely please concern', 'extremely please concern doctor', 'please', 'please concern', 'please concern doctor', 'concern', 'concern doctor', 'doctor']",0,1,0.3846153846153846
117057,"I get 2 surgery with dr wise and I?m pleased with he?s job,he?s a wonderful doctor",0,surgery dr wise m please s jones fantastic doctor,"['surgery', 'surgery dr', 'surgery dr wise', 'surgery dr wise m', 'surgery dr wise m please', 'surgery dr wise m please s', 'surgery dr wise m please s jones', 'surgery dr wise m please s jones fantastic', 'surgery dr wise m please s jones fantastic doctor', 'dr', 'dr wise', 'dr wise m', 'dr wise m please', 'dr wise m please s', 'dr wise m please s jones', 'dr wise m please s jones fantastic', 'dr wise m please s jones fantastic doctor', 'wise', 'wise m', 'wise m please', 'wise m please s', 'wise m please s jones', 'wise m please s jones fantastic', 'wise m please s jones fantastic doctor', 'm', 'm please', 'm please s', 'm please s jones', 'm please s jones fantastic', 'm please s jones fantastic doctor', 'please', 'please s', 'please s jones', 'please s jones fantastic', 'please s jones fantastic doctor', 's', 's jones', 's jones fantastic', 's jones fantastic doctor', 'jones', 'jones fantastic', 'jones fantastic doctor', 'fantastic', 'fantastic doctor', 'doctor']",0,1,0.3846153846153846
59524,I was very pleased with his knowledge of my situation and how to make it better,0,please cognition situation good,"['please', 'please cognition', 'please cognition situation', 'please cognition situation good', 'cognition', 'cognition situation', 'cognition situation good', 'situation', 'situation good', 'good']",0,1,0.3846153846153846
85319,"I'm absolutely pleased, even years later with my procedure.",0,m absolutely please procedure,"['m', 'm absolutely', 'm absolutely please', 'm absolutely please procedure', 'absolutely', 'absolutely please', 'absolutely please procedure', 'please', 'please procedure', 'procedure']",0,1,0.3846153846153846
89376,"Needless to say, I'm going to have to find another doctor.",1,needle m go find doctor,"['needle', 'needle m', 'needle m go', 'needle m go find', 'needle m go find doctor', 'm', 'm go', 'm go find', 'm go find doctor', 'go', 'go find', 'go find doctor', 'find', 'find doctor', 'doctor']",1,0,0.3846153846153846
130796,"and the xray machine to guide the needle through the nerves, was not seen during the first injection;",1,gray machine guide needle nerve see injection,"['gray', 'gray machine', 'gray machine guide', 'gray machine guide needle', 'gray machine guide needle nerve', 'gray machine guide needle nerve see', 'gray machine guide needle nerve see injection', 'machine', 'machine guide', 'machine guide needle', 'machine guide needle nerve', 'machine guide needle nerve see', 'machine guide needle nerve see injection', 'guide', 'guide needle', 'guide needle nerve', 'guide needle nerve see', 'guide needle nerve see injection', 'needle', 'needle nerve', 'needle nerve see', 'needle nerve see injection', 'nerve', 'nerve see', 'nerve see injection', 'see', 'see injection', 'injection']",1,0,0.3846153846153846
120732,"Excellent bedside manner, very pleased.",0,excellent bedside manner please,"['excellent', 'excellent bedside', 'excellent bedside manner', 'excellent bedside manner please', 'bedside', 'bedside manner', 'bedside manner please', 'manner', 'manner please', 'please']",0,1,0.3846153846153846
176970,"I'm really pleased with my surgery, and the outcomes are perfect.",0,m please surgery result perfect,"['m', 'm please', 'm please surgery', 'm please surgery result', 'm please surgery result perfect', 'please', 'please surgery', 'please surgery result', 'please surgery result perfect', 'surgery', 'surgery result', 'surgery result perfect', 'result', 'result perfect', 'perfect']",0,1,0.3846153846153846
61701,I'm very pleased with this doctor,0,m please doctor,"['m', 'm please', 'm please doctor', 'please', 'please doctor', 'doctor']",0,1,0.3846153846153846
66404,I've been extremely pleased with her.,0,ve extremely please,"['ve', 've extremely', 've extremely please', 'extremely', 'extremely please', 'please']",0,1,0.3846153846153846
94644,"Dr. White's botox techniques made my experience with needles quick, painless",0,technique experience needle quick painless,"['technique', 'technique experience', 'technique experience needle', 'technique experience needle quick', 'technique experience needle quick painless', 'experience', 'experience needle', 'experience needle quick', 'experience needle quick painless', 'needle', 'needle quick', 'needle quick painless', 'quick', 'quick painless', 'painless']",1,0,0.3846153846153846
127607,"Everyone was very pleasant, and I was pleased that I saw the doctor at the exact time of my appointment.",0,pleasant please see doctor exact time appointment,"['pleasant', 'pleasant please', 'pleasant please see', 'pleasant please see doctor', 'pleasant please see doctor exact', 'pleasant please see doctor exact time', 'pleasant please see doctor exact time appointment', 'please', 'please see', 'please see doctor', 'please see doctor exact', 'please see doctor exact time', 'please see doctor exact time appointment', 'see', 'see doctor', 'see doctor exact', 'see doctor exact time', 'see doctor exact time appointment', 'doctor', 'doctor exact', 'doctor exact time', 'doctor exact time appointment', 'exact', 'exact time', 'exact time appointment', 'time', 'time appointment', 'appointment']",0,1,0.3846153846153846
104044,They handled my aversion to needles very well and the doctor was sensitive to my pregnancy situation.,0,handle aversion needle doctor sensitive pregnancy situation,"['handle', 'handle aversion', 'handle aversion needle', 'handle aversion needle doctor', 'handle aversion needle doctor sensitive', 'handle aversion needle doctor sensitive pregnancy', 'handle aversion needle doctor sensitive pregnancy situation', 'aversion', 'aversion needle', 'aversion needle doctor', 'aversion needle doctor sensitive', 'aversion needle doctor sensitive pregnancy', 'aversion needle doctor sensitive pregnancy situation', 'needle', 'needle doctor', 'needle doctor sensitive', 'needle doctor sensitive pregnancy', 'needle doctor sensitive pregnancy situation', 'doctor', 'doctor sensitive', 'doctor sensitive pregnancy', 'doctor sensitive pregnancy situation', 'sensitive', 'sensitive pregnancy', 'sensitive pregnancy situation', 'pregnancy', 'pregnancy situation', 'situation']",1,0,0.3846153846153846
131130,I am very pleased with the professional treatment by Dr. Alvarez and the complete attending staff.,0,please professional treatment complete attend staff,"['please', 'please professional', 'please professional treatment', 'please professional treatment complete', 'please professional treatment complete attend', 'please professional treatment complete attend staff', 'professional', 'professional treatment', 'professional treatment complete', 'professional treatment complete attend', 'professional treatment complete attend staff', 'treatment', 'treatment complete', 'treatment complete attend', 'treatment complete attend staff', 'complete', 'complete attend', 'complete attend staff', 'attend', 'attend staff', 'staff']",0,1,0.3846153846153846
140499,We are very pleased that Dr. Barry has become our vet!,0,please dr meet,"['please', 'please dr', 'please dr meet', 'dr', 'dr meet', 'meet']",0,1,0.3846153846153846
100097,I could not be more pleased with the results.,0,please result,"['please', 'please result', 'result']",0,1,0.3846153846153846
130329,Three weeks out of surgery and I?m beyond pleased with my results.,0,surgery m please result,"['surgery', 'surgery m', 'surgery m please', 'surgery m please result', 'm', 'm please', 'm please result', 'please', 'please result', 'result']",0,1,0.3846153846153846
123059,I am pleased with the entire program.,0,please entire program,"['please', 'please entire', 'please entire program', 'entire', 'entire program', 'program']",0,1,0.3846153846153846
81947,"58 Yr Old Professional Male, Very Pleased.",0,old professional male please,"['old', 'old professional', 'old professional male', 'old professional male please', 'professional', 'professional male', 'professional male please', 'male', 'male please', 'please']",0,1,0.3846153846153846
100371,Very pleased.,0,please,['please'],0,1,0.3846153846153846
188260,I was very pleased with dr Wong.,0,please dr long,"['please', 'please dr', 'please dr long', 'dr', 'dr long', 'long']",0,1,0.3846153846153846
152150,I've had a BBL done and I am less than pleased with how it turned out.,1,ve bal please turn,"['ve', 've bal', 've bal please', 've bal please turn', 'bal', 'bal please', 'bal please turn', 'please', 'please turn', 'turn']",0,1,0.3846153846153846
169137,I was very pleased and happy with my treatment that I received today.,0,please happy treatment receive,"['please', 'please happy', 'please happy treatment', 'please happy treatment receive', 'happy', 'happy treatment', 'happy treatment receive', 'treatment', 'treatment receive', 'receive']",0,1,0.3846153846153846
110376,I had no bruising and I was pleased with my appearance afterwards.,0,bruise please appearance,"['bruise', 'bruise please', 'bruise please appearance', 'please', 'please appearance', 'appearance']",0,1,0.3846153846153846
132982,I've received care for 3 weeks now and I am very pleased and happy with my improvements.,0,ve receive care please happy improvement,"['ve', 've receive', 've receive care', 've receive care please', 've receive care please happy', 've receive care please happy improvement', 'receive', 'receive care', 'receive care please', 'receive care please happy', 'receive care please happy improvement', 'care', 'care please', 'care please happy', 'care please happy improvement', 'please', 'please happy', 'please happy improvement', 'happy', 'happy improvement', 'improvement']",0,1,0.3846153846153846
128348,I've waited almost 30 years for this and I couldn't be more pleased.,0,ve wait please,"['ve', 've wait', 've wait please', 'wait', 'wait please', 'please']",0,1,0.3846153846153846
144477,As a new patient I could not be any more pleased with my experience with this practice.,0,new patient please experience practice,"['new', 'new patient', 'new patient please', 'new patient please experience', 'new patient please experience practice', 'patient', 'patient please', 'patient please experience', 'patient please experience practice', 'please', 'please experience', 'please experience practice', 'experience', 'experience practice', 'practice']",0,1,0.3846153846153846
97766,"Laser used, NO NEEDLE needed!!!",0,laser needle need,"['laser', 'laser needle', 'laser needle need', 'needle', 'needle need', 'need']",1,0,0.3846153846153846
140090,"I am very pleased that I still look like myself, minus 5 years or so!",0,please look like minus,"['please', 'please look', 'please look like', 'please look like minus', 'look', 'look like', 'look like minus', 'like', 'like minus', 'minus']",0,1,0.3846153846153846
130327,Three weeks out of surgery and I'm beyond pleased with my results.,0,surgery m please result,"['surgery', 'surgery m', 'surgery m please', 'surgery m please result', 'm', 'm please', 'm please result', 'please', 'please result', 'result']",0,1,0.3846153846153846
82118,"and Listed to all my complaints, very pleased with her caring.",0,list complaint please dare,"['list', 'list complaint', 'list complaint please', 'list complaint please dare', 'complaint', 'complaint please', 'complaint please dare', 'please', 'please dare', 'dare']",0,1,0.3846153846153846
97547,I am pleased with the quality of service I have received here,0,please quality service receive,"['please', 'please quality', 'please quality service', 'please quality service receive', 'quality', 'quality service', 'quality service receive', 'service', 'service receive', 'receive']",0,1,0.3846153846153846
82972,so far I could not be more pleased.,0,far please,"['far', 'far please', 'please']",0,1,0.3846153846153846
103270,"Dr. Waheed is my doctor, I was very neveous about a new doctor, I am very pleased with him.",0,doctor nervous new doctor please,"['doctor', 'doctor nervous', 'doctor nervous new', 'doctor nervous new doctor', 'doctor nervous new doctor please', 'nervous', 'nervous new', 'nervous new doctor', 'nervous new doctor please', 'new', 'new doctor', 'new doctor please', 'doctor', 'doctor please', 'please']",0,1,0.3846153846153846
96611,"I was very pleased with dr. khemsara, he is very knowledge and very caring , the whole staff was knowledgeable",0,please cognition dare staff knowledgeable,"['please', 'please cognition', 'please cognition dare', 'please cognition dare staff', 'please cognition dare staff knowledgeable', 'cognition', 'cognition dare', 'cognition dare staff', 'cognition dare staff knowledgeable', 'dare', 'dare staff', 'dare staff knowledgeable', 'staff', 'staff knowledgeable', 'knowledgeable']",0,1,0.3846153846153846
143725,and more than pleased with the decision to utilize the services offered by Dr. Kim and his staff.,0,please decision utilize service offer staff,"['please', 'please decision', 'please decision utilize', 'please decision utilize service', 'please decision utilize service offer', 'please decision utilize service offer staff', 'decision', 'decision utilize', 'decision utilize service', 'decision utilize service offer', 'decision utilize service offer staff', 'utilize', 'utilize service', 'utilize service offer', 'utilize service offer staff', 'service', 'service offer', 'service offer staff', 'offer', 'offer staff', 'staff']",0,1,0.3846153846153846
147820,"Needless to say, I will NEVER make an appointment to see Dr Stucken in the future.",1,needle appointment dr stick future,"['needle', 'needle appointment', 'needle appointment dr', 'needle appointment dr stick', 'needle appointment dr stick future', 'appointment', 'appointment dr', 'appointment dr stick', 'appointment dr stick future', 'dr', 'dr stick', 'dr stick future', 'stick', 'stick future', 'future']",1,0,0.3846153846153846
170425,I couldn't be more pleased with my experience with Dr. John Pierce,0,please experience,"['please', 'please experience', 'experience']",0,1,0.3846153846153846
127615,I have recently switched from a smaller Dermatology office to here and am pleased with the change.,0,recently switch small dermatology office please change,"['recently', 'recently switch', 'recently switch small', 'recently switch small dermatology', 'recently switch small dermatology office', 'recently switch small dermatology office please', 'recently switch small dermatology office please change', 'switch', 'switch small', 'switch small dermatology', 'switch small dermatology office', 'switch small dermatology office please', 'switch small dermatology office please change', 'small', 'small dermatology', 'small dermatology office', 'small dermatology office please', 'small dermatology office please change', 'dermatology', 'dermatology office', 'dermatology office please', 'dermatology office please change', 'office', 'office please', 'office please change', 'please', 'please change', 'change']",0,1,0.3846153846153846
103580,I am very pleased with the results of my surgery...and can now read much longer,0,please result surgeryand read long,"['please', 'please result', 'please result surgeryand', 'please result surgeryand read', 'please result surgeryand read long', 'result', 'result surgeryand', 'result surgeryand read', 'result surgeryand read long', 'surgeryand', 'surgeryand read', 'surgeryand read long', 'read', 'read long', 'long']",0,1,0.3846153846153846
118417,Needless to say afterwards pain management became a part of my daily life.,1,needle pain management daily life,"['needle', 'needle pain', 'needle pain management', 'needle pain management daily', 'needle pain management daily life', 'pain', 'pain management', 'pain management daily', 'pain management daily life', 'management', 'management daily', 'management daily life', 'daily', 'daily life', 'life']",1,0,0.3846153846153846
104171,Needless to say it was traumatic for both mom and son.,1,needle traumatic mon son,"['needle', 'needle traumatic', 'needle traumatic mon', 'needle traumatic mon son', 'traumatic', 'traumatic mon', 'traumatic mon son', 'mon', 'mon son', 'son']",1,0,0.3846153846153846
69403,"Thank you so much, I have very little scaring which I am so pleased.",0,thank little sharing please,"['thank', 'thank little', 'thank little sharing', 'thank little sharing please', 'little', 'little sharing', 'little sharing please', 'sharing', 'sharing please', 'please']",0,1,0.3846153846153846
133298,They gave me back my confidence in my legs and I am more than pleased and so grateful I found them!,0,give confidence leg please grateful find,"['give', 'give confidence', 'give confidence leg', 'give confidence leg please', 'give confidence leg please grateful', 'give confidence leg please grateful find', 'confidence', 'confidence leg', 'confidence leg please', 'confidence leg please grateful', 'confidence leg please grateful find', 'leg', 'leg please', 'leg please grateful', 'leg please grateful find', 'please', 'please grateful', 'please grateful find', 'grateful', 'grateful find', 'find']",0,1,0.3846153846153846
98786,I had significant skin cancer removed from my nose and very pleased with the result with Dr Jelks superb surgical expertise.,0,significant skin cancer remove nose please result dr surgical expertness,"['significant', 'significant skin', 'significant skin cancer', 'significant skin cancer remove', 'significant skin cancer remove nose', 'significant skin cancer remove nose please', 'significant skin cancer remove nose please result', 'significant skin cancer remove nose please result dr', 'significant skin cancer remove nose please result dr surgical', 'significant skin cancer remove nose please result dr surgical expertness', 'skin', 'skin cancer', 'skin cancer remove', 'skin cancer remove nose', 'skin cancer remove nose please', 'skin cancer remove nose please result', 'skin cancer remove nose please result dr', 'skin cancer remove nose please result dr surgical', 'skin cancer remove nose please result dr surgical expertness', 'cancer', 'cancer remove', 'cancer remove nose', 'cancer remove nose please', 'cancer remove nose please result', 'cancer remove nose please result dr', 'cancer remove nose please result dr surgical', 'cancer remove nose please result dr surgical expertness', 'remove', 'remove nose', 'remove nose please', 'remove nose please result', 'remove nose please result dr', 'remove nose please result dr surgical', 'remove nose please result dr surgical expertness', 'nose', 'nose please', 'nose please result', 'nose please result dr', 'nose please result dr surgical', 'nose please result dr surgical expertness', 'please', 'please result', 'please result dr', 'please result dr surgical', 'please result dr surgical expertness', 'result', 'result dr', 'result dr surgical', 'result dr surgical expertness', 'dr', 'dr surgical', 'dr surgical expertness', 'surgical', 'surgical expertness', 'expertness']",0,1,0.3846153846153846
116772,"I've received Restylane injections from him a number of times in my under eye and temple areas, and have always left pleased.",0,ve receive restylane injection number time eye temple area leave please,"['ve', 've receive', 've receive restylane', 've receive restylane injection', 've receive restylane injection number', 've receive restylane injection number time', 've receive restylane injection number time eye', 've receive restylane injection number time eye temple', 've receive restylane injection number time eye temple area', 've receive restylane injection number time eye temple area leave', 've receive restylane injection number time eye temple area leave please', 'receive', 'receive restylane', 'receive restylane injection', 'receive restylane injection number', 'receive restylane injection number time', 'receive restylane injection number time eye', 'receive restylane injection number time eye temple', 'receive restylane injection number time eye temple area', 'receive restylane injection number time eye temple area leave', 'receive restylane injection number time eye temple area leave please', 'restylane', 'restylane injection', 'restylane injection number', 'restylane injection number time', 'restylane injection number time eye', 'restylane injection number time eye temple', 'restylane injection number time eye temple area', 'restylane injection number time eye temple area leave', 'restylane injection number time eye temple area leave please', 'injection', 'injection number', 'injection number time', 'injection number time eye', 'injection number time eye temple', 'injection number time eye temple area', 'injection number time eye temple area leave', 'injection number time eye temple area leave please', 'number', 'number time', 'number time eye', 'number time eye temple', 'number time eye temple area', 'number time eye temple area leave', 'number time eye temple area leave please', 'time', 'time eye', 'time eye temple', 'time eye temple area', 'time eye temple area leave', 'time eye temple area leave please', 'eye', 'eye temple', 'eye temple area', 'eye temple area leave', 'eye temple area leave please', 'temple', 'temple area', 'temple area leave', 'temple area leave please', 'area', 'area leave', 'area leave please', 'leave', 'leave please', 'please']",0,1,0.3846153846153846
96824,This was the first time I got a needle and didn't even know it.,0,time get needle know,"['time', 'time get', 'time get needle', 'time get needle know', 'get', 'get needle', 'get needle know', 'needle', 'needle know', 'know']",1,0,0.3846153846153846
64232,"I was very pleased with the attitude and he spoke directly, gave very good eye contact.",0,please attitude speak directly give good eye contact,"['please', 'please attitude', 'please attitude speak', 'please attitude speak directly', 'please attitude speak directly give', 'please attitude speak directly give good', 'please attitude speak directly give good eye', 'please attitude speak directly give good eye contact', 'attitude', 'attitude speak', 'attitude speak directly', 'attitude speak directly give', 'attitude speak directly give good', 'attitude speak directly give good eye', 'attitude speak directly give good eye contact', 'speak', 'speak directly', 'speak directly give', 'speak directly give good', 'speak directly give good eye', 'speak directly give good eye contact', 'directly', 'directly give', 'directly give good', 'directly give good eye', 'directly give good eye contact', 'give', 'give good', 'give good eye', 'give good eye contact', 'good', 'good eye', 'good eye contact', 'eye', 'eye contact', 'contact']",0,1,0.3846153846153846
153729,"The sessions are quick, fun, and I always leave very pleased.",0,session quick fun leave please,"['session', 'session quick', 'session quick fun', 'session quick fun leave', 'session quick fun leave please', 'quick', 'quick fun', 'quick fun leave', 'quick fun leave please', 'fun', 'fun leave', 'fun leave please', 'leave', 'leave please', 'please']",0,1,0.3846153846153846
