commentId,comment,classification,comment_processed,word_phrase_list,different,rebelliously,rebelliously worth,worth,plant,similarity_score
168637,I met with five different doctors for lipo (all in the Bay Area) and was blown away by the consultation alone!,0,meet different doctor lip blow away consultation,"['meet', 'meet different', 'meet different doctor', 'meet different doctor lip', 'meet different doctor lip blow', 'meet different doctor lip blow away', 'meet different doctor lip blow away consultation', 'different', 'different doctor', 'different doctor lip', 'different doctor lip blow', 'different doctor lip blow away', 'different doctor lip blow away consultation', 'doctor', 'doctor lip', 'doctor lip blow', 'doctor lip blow away', 'doctor lip blow away consultation', 'lip', 'lip blow', 'lip blow away', 'lip blow away consultation', 'blow', 'blow away', 'blow away consultation', 'away', 'away consultation', 'consultation']",1,0,0,0,0,0.12195121951219513
161770,They are 2 different sizes off by 200 ccs-one hangs low with a giant areola- one is normal-both have no feeling at all.,1,different size cone hang low giant areola normalboth feel,"['different', 'different size', 'different size cone', 'different size cone hang', 'different size cone hang low', 'different size cone hang low giant', 'different size cone hang low giant areola', 'different size cone hang low giant areola normalboth', 'different size cone hang low giant areola normalboth feel', 'size', 'size cone', 'size cone hang', 'size cone hang low', 'size cone hang low giant', 'size cone hang low giant areola', 'size cone hang low giant areola normalboth', 'size cone hang low giant areola normalboth feel', 'cone', 'cone hang', 'cone hang low', 'cone hang low giant', 'cone hang low giant areola', 'cone hang low giant areola normalboth', 'cone hang low giant areola normalboth feel', 'hang', 'hang low', 'hang low giant', 'hang low giant areola', 'hang low giant areola normalboth', 'hang low giant areola normalboth feel', 'low', 'low giant', 'low giant areola', 'low giant areola normalboth', 'low giant areola normalboth feel', 'giant', 'giant areola', 'giant areola normalboth', 'giant areola normalboth feel', 'areola', 'areola normalboth', 'areola normalboth feel', 'normalboth', 'normalboth feel', 'feel']",1,0,0,0,0,0.12195121951219513
156013,"The augmentation is very different from my left eye, and I feel regret when I look in the mirror.",1,pigmentation different leave eye feel regret look mirror,"['pigmentation', 'pigmentation different', 'pigmentation different leave', 'pigmentation different leave eye', 'pigmentation different leave eye feel', 'pigmentation different leave eye feel regret', 'pigmentation different leave eye feel regret look', 'pigmentation different leave eye feel regret look mirror', 'different', 'different leave', 'different leave eye', 'different leave eye feel', 'different leave eye feel regret', 'different leave eye feel regret look', 'different leave eye feel regret look mirror', 'leave', 'leave eye', 'leave eye feel', 'leave eye feel regret', 'leave eye feel regret look', 'leave eye feel regret look mirror', 'eye', 'eye feel', 'eye feel regret', 'eye feel regret look', 'eye feel regret look mirror', 'feel', 'feel regret', 'feel regret look', 'feel regret look mirror', 'regret', 'regret look', 'regret look mirror', 'look', 'look mirror', 'mirror']",1,0,0,0,0,0.12195121951219513
135673,He is more concerned with what he can do for people having breast/butt implants or nose jobs than those that need his services,1,concerned people have breastbutt plant nose job need service,"['concerned', 'concerned people', 'concerned people have', 'concerned people have breastbutt', 'concerned people have breastbutt plant', 'concerned people have breastbutt plant nose', 'concerned people have breastbutt plant nose job', 'concerned people have breastbutt plant nose job need', 'concerned people have breastbutt plant nose job need service', 'people', 'people have', 'people have breastbutt', 'people have breastbutt plant', 'people have breastbutt plant nose', 'people have breastbutt plant nose job', 'people have breastbutt plant nose job need', 'people have breastbutt plant nose job need service', 'have', 'have breastbutt', 'have breastbutt plant', 'have breastbutt plant nose', 'have breastbutt plant nose job', 'have breastbutt plant nose job need', 'have breastbutt plant nose job need service', 'breastbutt', 'breastbutt plant', 'breastbutt plant nose', 'breastbutt plant nose job', 'breastbutt plant nose job need', 'breastbutt plant nose job need service', 'plant', 'plant nose', 'plant nose job', 'plant nose job need', 'plant nose job need service', 'nose', 'nose job', 'nose job need', 'nose job need service', 'job', 'job need', 'job need service', 'need', 'need service', 'service']",0,0,0,0,1,0.12195121951219513
121049,"Since Front Desk didn't mention anything, I thought it should be ok as people are going to different doctors.",1,desk mention think ok people go different doctor,"['desk', 'desk mention', 'desk mention think', 'desk mention think ok', 'desk mention think ok people', 'desk mention think ok people go', 'desk mention think ok people go different', 'desk mention think ok people go different doctor', 'mention', 'mention think', 'mention think ok', 'mention think ok people', 'mention think ok people go', 'mention think ok people go different', 'mention think ok people go different doctor', 'think', 'think ok', 'think ok people', 'think ok people go', 'think ok people go different', 'think ok people go different doctor', 'ok', 'ok people', 'ok people go', 'ok people go different', 'ok people go different doctor', 'people', 'people go', 'people go different', 'people go different doctor', 'go', 'go different', 'go different doctor', 'different', 'different doctor', 'doctor']",1,0,0,0,0,0.12195121951219513
96592,"I got my 8 crowns on 6 implants today, and I cannot wait to go",0,get crown plant wait,"['get', 'get crown', 'get crown plant', 'get crown plant wait', 'crown', 'crown plant', 'crown plant wait', 'plant', 'plant wait', 'wait']",0,0,0,0,1,0.12195121951219513
72518,"Cooperatively, we decided which implant would likely work the best for my age and activity levels.",0,relatively decide plant likely work good age activity level,"['relatively', 'relatively decide', 'relatively decide plant', 'relatively decide plant likely', 'relatively decide plant likely work', 'relatively decide plant likely work good', 'relatively decide plant likely work good age', 'relatively decide plant likely work good age activity', 'relatively decide plant likely work good age activity level', 'decide', 'decide plant', 'decide plant likely', 'decide plant likely work', 'decide plant likely work good', 'decide plant likely work good age', 'decide plant likely work good age activity', 'decide plant likely work good age activity level', 'plant', 'plant likely', 'plant likely work', 'plant likely work good', 'plant likely work good age', 'plant likely work good age activity', 'plant likely work good age activity level', 'likely', 'likely work', 'likely work good', 'likely work good age', 'likely work good age activity', 'likely work good age activity level', 'work', 'work good', 'work good age', 'work good age activity', 'work good age activity level', 'good', 'good age', 'good age activity', 'good age activity level', 'age', 'age activity', 'age activity level', 'activity', 'activity level', 'level']",0,0,0,0,1,0.12195121951219513
123519,"I ultimately trusted Dr. T to make the final decision during surgery, and he chose the perfect sized implants",0,ultimately trust dr t final decision surgery choose perfect size plant,"['ultimately', 'ultimately trust', 'ultimately trust dr', 'ultimately trust dr t', 'ultimately trust dr t final', 'ultimately trust dr t final decision', 'ultimately trust dr t final decision surgery', 'ultimately trust dr t final decision surgery choose', 'ultimately trust dr t final decision surgery choose perfect', 'ultimately trust dr t final decision surgery choose perfect size', 'ultimately trust dr t final decision surgery choose perfect size plant', 'trust', 'trust dr', 'trust dr t', 'trust dr t final', 'trust dr t final decision', 'trust dr t final decision surgery', 'trust dr t final decision surgery choose', 'trust dr t final decision surgery choose perfect', 'trust dr t final decision surgery choose perfect size', 'trust dr t final decision surgery choose perfect size plant', 'dr', 'dr t', 'dr t final', 'dr t final decision', 'dr t final decision surgery', 'dr t final decision surgery choose', 'dr t final decision surgery choose perfect', 'dr t final decision surgery choose perfect size', 'dr t final decision surgery choose perfect size plant', 't', 't final', 't final decision', 't final decision surgery', 't final decision surgery choose', 't final decision surgery choose perfect', 't final decision surgery choose perfect size', 't final decision surgery choose perfect size plant', 'final', 'final decision', 'final decision surgery', 'final decision surgery choose', 'final decision surgery choose perfect', 'final decision surgery choose perfect size', 'final decision surgery choose perfect size plant', 'decision', 'decision surgery', 'decision surgery choose', 'decision surgery choose perfect', 'decision surgery choose perfect size', 'decision surgery choose perfect size plant', 'surgery', 'surgery choose', 'surgery choose perfect', 'surgery choose perfect size', 'surgery choose perfect size plant', 'choose', 'choose perfect', 'choose perfect size', 'choose perfect size plant', 'perfect', 'perfect size', 'perfect size plant', 'size', 'size plant', 'plant']",0,0,0,0,1,0.12195121951219513
157046,I was at their Sandy Springs location for a fair amount of time but it was completely worth it.,0,sandy spring location fair time completely worth,"['sandy', 'sandy spring', 'sandy spring location', 'sandy spring location fair', 'sandy spring location fair time', 'sandy spring location fair time completely', 'sandy spring location fair time completely worth', 'spring', 'spring location', 'spring location fair', 'spring location fair time', 'spring location fair time completely', 'spring location fair time completely worth', 'location', 'location fair', 'location fair time', 'location fair time completely', 'location fair time completely worth', 'fair', 'fair time', 'fair time completely', 'fair time completely worth', 'time', 'time completely', 'time completely worth', 'completely', 'completely worth', 'worth']",0,0,0,1,0,0.12195121951219513
85285,Even friends who went to different doctors can't get over how amazing it looks in comparison!,0,friend go different doctor amaze look comparison,"['friend', 'friend go', 'friend go different', 'friend go different doctor', 'friend go different doctor amaze', 'friend go different doctor amaze look', 'friend go different doctor amaze look comparison', 'go', 'go different', 'go different doctor', 'go different doctor amaze', 'go different doctor amaze look', 'go different doctor amaze look comparison', 'different', 'different doctor', 'different doctor amaze', 'different doctor amaze look', 'different doctor amaze look comparison', 'doctor', 'doctor amaze', 'doctor amaze look', 'doctor amaze look comparison', 'amaze', 'amaze look', 'amaze look comparison', 'look', 'look comparison', 'comparison']",1,0,0,0,0,0.12195121951219513
184116,"So either they washed them off and put them back, or they don't have record of the last implants they put in...",1,wash record plant,"['wash', 'wash record', 'wash record plant', 'record', 'record plant', 'plant']",0,0,0,0,1,0.12195121951219513
89239,Dr Truesdale did an amazing job with me from consultation to follow up after my breast implants.,0,amaze job consultation follow breast plant,"['amaze', 'amaze job', 'amaze job consultation', 'amaze job consultation follow', 'amaze job consultation follow breast', 'amaze job consultation follow breast plant', 'job', 'job consultation', 'job consultation follow', 'job consultation follow breast', 'job consultation follow breast plant', 'consultation', 'consultation follow', 'consultation follow breast', 'consultation follow breast plant', 'follow', 'follow breast', 'follow breast plant', 'breast', 'breast plant', 'plant']",0,0,0,0,1,0.12195121951219513
184117,"I told him the implants were replaced with new ones (3 years ago) they ""had just started using and wanted to try them"".",1,tell plant replace new one start want try,"['tell', 'tell plant', 'tell plant replace', 'tell plant replace new', 'tell plant replace new one', 'tell plant replace new one start', 'tell plant replace new one start want', 'tell plant replace new one start want try', 'plant', 'plant replace', 'plant replace new', 'plant replace new one', 'plant replace new one start', 'plant replace new one start want', 'plant replace new one start want try', 'replace', 'replace new', 'replace new one', 'replace new one start', 'replace new one start want', 'replace new one start want try', 'new', 'new one', 'new one start', 'new one start want', 'new one start want try', 'one', 'one start', 'one start want', 'one start want try', 'start', 'start want', 'start want try', 'want', 'want try', 'try']",0,0,0,0,1,0.12195121951219513
169296,I've had so many compliments from friends co-workers and family asking what Ive done different.,0,ve compliment friend worker family ask ve different,"['ve', 've compliment', 've compliment friend', 've compliment friend worker', 've compliment friend worker family', 've compliment friend worker family ask', 've compliment friend worker family ask ve', 've compliment friend worker family ask ve different', 'compliment', 'compliment friend', 'compliment friend worker', 'compliment friend worker family', 'compliment friend worker family ask', 'compliment friend worker family ask ve', 'compliment friend worker family ask ve different', 'friend', 'friend worker', 'friend worker family', 'friend worker family ask', 'friend worker family ask ve', 'friend worker family ask ve different', 'worker', 'worker family', 'worker family ask', 'worker family ask ve', 'worker family ask ve different', 'family', 'family ask', 'family ask ve', 'family ask ve different', 'ask', 'ask ve', 'ask ve different', 've', 've different', 'different']",1,0,0,0,0,0.12195121951219513
91220,However I have not found a clinic on par with this so it's been worth the time and expense,0,find clinic par worth time expense,"['find', 'find clinic', 'find clinic par', 'find clinic par worth', 'find clinic par worth time', 'find clinic par worth time expense', 'clinic', 'clinic par', 'clinic par worth', 'clinic par worth time', 'clinic par worth time expense', 'par', 'par worth', 'par worth time', 'par worth time expense', 'worth', 'worth time', 'worth time expense', 'time', 'time expense', 'expense']",0,0,0,1,0,0.12195121951219513
93859,I highly advise someone looking for dental implants to go to them for treatment.,0,highly advise look dental plant treatment,"['highly', 'highly advise', 'highly advise look', 'highly advise look dental', 'highly advise look dental plant', 'highly advise look dental plant treatment', 'advise', 'advise look', 'advise look dental', 'advise look dental plant', 'advise look dental plant treatment', 'look', 'look dental', 'look dental plant', 'look dental plant treatment', 'dental', 'dental plant', 'dental plant treatment', 'plant', 'plant treatment', 'treatment']",0,0,0,0,1,0.12195121951219513
77253,he understands the healing process and many different skin types and textures and what will work best for you.,0,understand heal process different skin type texture work good,"['understand', 'understand heal', 'understand heal process', 'understand heal process different', 'understand heal process different skin', 'understand heal process different skin type', 'understand heal process different skin type texture', 'understand heal process different skin type texture work', 'understand heal process different skin type texture work good', 'heal', 'heal process', 'heal process different', 'heal process different skin', 'heal process different skin type', 'heal process different skin type texture', 'heal process different skin type texture work', 'heal process different skin type texture work good', 'process', 'process different', 'process different skin', 'process different skin type', 'process different skin type texture', 'process different skin type texture work', 'process different skin type texture work good', 'different', 'different skin', 'different skin type', 'different skin type texture', 'different skin type texture work', 'different skin type texture work good', 'skin', 'skin type', 'skin type texture', 'skin type texture work', 'skin type texture work good', 'type', 'type texture', 'type texture work', 'type texture work good', 'texture', 'texture work', 'texture work good', 'work', 'work good', 'good']",1,0,0,0,0,0.12195121951219513
112335,I had a pleasure of seeing Cindy for a very long time now for different services.,0,pleasure see windy long time different service,"['pleasure', 'pleasure see', 'pleasure see windy', 'pleasure see windy long', 'pleasure see windy long time', 'pleasure see windy long time different', 'pleasure see windy long time different service', 'see', 'see windy', 'see windy long', 'see windy long time', 'see windy long time different', 'see windy long time different service', 'windy', 'windy long', 'windy long time', 'windy long time different', 'windy long time different service', 'long', 'long time', 'long time different', 'long time different service', 'time', 'time different', 'time different service', 'different', 'different service', 'service']",1,0,0,0,0,0.12195121951219513
161556,"So much more I could say, advise...find a different Dr.",1,advisefind different dr,"['advisefind', 'advisefind different', 'advisefind different dr', 'different', 'different dr', 'dr']",1,0,0,0,0,0.12195121951219513
103359,It was worth the hour ride to the office to see her.,0,worth ride office,"['worth', 'worth ride', 'worth ride office', 'ride', 'ride office', 'office']",0,0,0,1,0,0.12195121951219513
146869,"My implants were so big and misplaced, and left my cheeks hanging low and my face looking wide and abnormal.",1,plant big misplace leave cheek hang low face look wide abnormal,"['plant', 'plant big', 'plant big misplace', 'plant big misplace leave', 'plant big misplace leave cheek', 'plant big misplace leave cheek hang', 'plant big misplace leave cheek hang low', 'plant big misplace leave cheek hang low face', 'plant big misplace leave cheek hang low face look', 'plant big misplace leave cheek hang low face look wide', 'plant big misplace leave cheek hang low face look wide abnormal', 'big', 'big misplace', 'big misplace leave', 'big misplace leave cheek', 'big misplace leave cheek hang', 'big misplace leave cheek hang low', 'big misplace leave cheek hang low face', 'big misplace leave cheek hang low face look', 'big misplace leave cheek hang low face look wide', 'big misplace leave cheek hang low face look wide abnormal', 'misplace', 'misplace leave', 'misplace leave cheek', 'misplace leave cheek hang', 'misplace leave cheek hang low', 'misplace leave cheek hang low face', 'misplace leave cheek hang low face look', 'misplace leave cheek hang low face look wide', 'misplace leave cheek hang low face look wide abnormal', 'leave', 'leave cheek', 'leave cheek hang', 'leave cheek hang low', 'leave cheek hang low face', 'leave cheek hang low face look', 'leave cheek hang low face look wide', 'leave cheek hang low face look wide abnormal', 'cheek', 'cheek hang', 'cheek hang low', 'cheek hang low face', 'cheek hang low face look', 'cheek hang low face look wide', 'cheek hang low face look wide abnormal', 'hang', 'hang low', 'hang low face', 'hang low face look', 'hang low face look wide', 'hang low face look wide abnormal', 'low', 'low face', 'low face look', 'low face look wide', 'low face look wide abnormal', 'face', 'face look', 'face look wide', 'face look wide abnormal', 'look', 'look wide', 'look wide abnormal', 'wide', 'wide abnormal', 'abnormal']",0,0,0,0,1,0.12195121951219513
143589,Dr. Pincus offered to replace my implants for FREE.,0,offer replace plant free,"['offer', 'offer replace', 'offer replace plant', 'offer replace plant free', 'replace', 'replace plant', 'replace plant free', 'plant', 'plant free', 'free']",0,0,0,0,1,0.12195121951219513
111218,"Went to have my tear trouths done, well salesgirl talked me into $2000.00 worth of fillers.",1,go tear truth salesgirl talk worth tiller,"['go', 'go tear', 'go tear truth', 'go tear truth salesgirl', 'go tear truth salesgirl talk', 'go tear truth salesgirl talk worth', 'go tear truth salesgirl talk worth tiller', 'tear', 'tear truth', 'tear truth salesgirl', 'tear truth salesgirl talk', 'tear truth salesgirl talk worth', 'tear truth salesgirl talk worth tiller', 'truth', 'truth salesgirl', 'truth salesgirl talk', 'truth salesgirl talk worth', 'truth salesgirl talk worth tiller', 'salesgirl', 'salesgirl talk', 'salesgirl talk worth', 'salesgirl talk worth tiller', 'talk', 'talk worth', 'talk worth tiller', 'worth', 'worth tiller', 'tiller']",0,0,0,1,0,0.12195121951219513
190443,"I have 2 scars on my back from the body tite, then the implants.",1,scar body time plant,"['scar', 'scar body', 'scar body time', 'scar body time plant', 'body', 'body time', 'body time plant', 'time', 'time plant', 'plant']",0,0,0,0,1,0.12195121951219513
123865,They told me I look very different and what were the scars on my face.,1,tell look different scar face,"['tell', 'tell look', 'tell look different', 'tell look different scar', 'tell look different scar face', 'look', 'look different', 'look different scar', 'look different scar face', 'different', 'different scar', 'different scar face', 'scar', 'scar face', 'face']",1,0,0,0,0,0.12195121951219513
143228,"What I can say at this point - if you are contemplating a chin implant, DO IT.",0,point contemplation chin plant,"['point', 'point contemplation', 'point contemplation chin', 'point contemplation chin plant', 'contemplation', 'contemplation chin', 'contemplation chin plant', 'chin', 'chin plant', 'plant']",0,0,0,0,1,0.12195121951219513
143883,"So while the ""connected"" people got their FREE implants and superior treatment I lived with painful unsightly breasts",1,connect people get free plant superior treatment live painful unsightly breast,"['connect', 'connect people', 'connect people get', 'connect people get free', 'connect people get free plant', 'connect people get free plant superior', 'connect people get free plant superior treatment', 'connect people get free plant superior treatment live', 'connect people get free plant superior treatment live painful', 'connect people get free plant superior treatment live painful unsightly', 'connect people get free plant superior treatment live painful unsightly breast', 'people', 'people get', 'people get free', 'people get free plant', 'people get free plant superior', 'people get free plant superior treatment', 'people get free plant superior treatment live', 'people get free plant superior treatment live painful', 'people get free plant superior treatment live painful unsightly', 'people get free plant superior treatment live painful unsightly breast', 'get', 'get free', 'get free plant', 'get free plant superior', 'get free plant superior treatment', 'get free plant superior treatment live', 'get free plant superior treatment live painful', 'get free plant superior treatment live painful unsightly', 'get free plant superior treatment live painful unsightly breast', 'free', 'free plant', 'free plant superior', 'free plant superior treatment', 'free plant superior treatment live', 'free plant superior treatment live painful', 'free plant superior treatment live painful unsightly', 'free plant superior treatment live painful unsightly breast', 'plant', 'plant superior', 'plant superior treatment', 'plant superior treatment live', 'plant superior treatment live painful', 'plant superior treatment live painful unsightly', 'plant superior treatment live painful unsightly breast', 'superior', 'superior treatment', 'superior treatment live', 'superior treatment live painful', 'superior treatment live painful unsightly', 'superior treatment live painful unsightly breast', 'treatment', 'treatment live', 'treatment live painful', 'treatment live painful unsightly', 'treatment live painful unsightly breast', 'live', 'live painful', 'live painful unsightly', 'live painful unsightly breast', 'painful', 'painful unsightly', 'painful unsightly breast', 'unsightly', 'unsightly breast', 'breast']",0,0,0,0,1,0.12195121951219513
94857,"I had implants placed before, and this time was night",0,plant place time night,"['plant', 'plant place', 'plant place time', 'plant place time night', 'place', 'place time', 'place time night', 'time', 'time night', 'night']",0,0,0,0,1,0.12195121951219513
146902,and man what I would give to redo this experience a different way.,1,man red experience different way,"['man', 'man red', 'man red experience', 'man red experience different', 'man red experience different way', 'red', 'red experience', 'red experience different', 'red experience different way', 'experience', 'experience different', 'experience different way', 'different', 'different way', 'way']",1,0,0,0,0,0.12195121951219513
145766,You indeed get what you pay for but he is beyond worth it.,0,pay worth,"['pay', 'pay worth', 'worth']",0,0,0,1,0,0.12195121951219513
94138,I will most defiantly recommend this place to my family,0,rebelliously recommend place family,"['rebelliously', 'rebelliously recommend', 'rebelliously recommend place', 'rebelliously recommend place family', 'recommend', 'recommend place', 'recommend place family', 'place', 'place family', 'family']",0,1,0,0,0,0.12195121951219513
178704,and my beautiful areolas are enlarged and different sizes on both breasts.,1,beautiful areolar enlarge different size breast,"['beautiful', 'beautiful areolar', 'beautiful areolar enlarge', 'beautiful areolar enlarge different', 'beautiful areolar enlarge different size', 'beautiful areolar enlarge different size breast', 'areolar', 'areolar enlarge', 'areolar enlarge different', 'areolar enlarge different size', 'areolar enlarge different size breast', 'enlarge', 'enlarge different', 'enlarge different size', 'enlarge different size breast', 'different', 'different size', 'different size breast', 'size', 'size breast', 'breast']",1,0,0,0,0,0.12195121951219513
78826,Thr pictures did help me and the money I paid worth it.,0,picture help money pay worth,"['picture', 'picture help', 'picture help money', 'picture help money pay', 'picture help money pay worth', 'help', 'help money', 'help money pay', 'help money pay worth', 'money', 'money pay', 'money pay worth', 'pay', 'pay worth', 'worth']",0,0,0,1,0,0.12195121951219513
