commentId,comment,classification,comment_processed,word_phrase_list,silk,flower,light,form,date,similarity_score
171532,I tried the red light therapy and that didn't work.,1,try red light therapy work,"['try', 'try red', 'try red light', 'try red light therapy', 'try red light therapy work', 'red', 'red light', 'red light therapy', 'red light therapy work', 'light', 'light therapy', 'light therapy work', 'therapy', 'therapy work', 'work']",0,0,1,0,0,0.08196721311475409
150708,"She is incredibly knowledgeable, up to date and completely trustworthy.",0,incredibly knowledgeable date completely trustworthy,"['incredibly', 'incredibly knowledgeable', 'incredibly knowledgeable date', 'incredibly knowledgeable date completely', 'incredibly knowledgeable date completely trustworthy', 'knowledgeable', 'knowledgeable date', 'knowledgeable date completely', 'knowledgeable date completely trustworthy', 'date', 'date completely', 'date completely trustworthy', 'completely', 'completely trustworthy', 'trustworthy']",0,0,0,0,1,0.08196721311475409
184021,"What I didn't expect was the professionalism and adeptness of her staff, from reception staff like Alex (which is too light a term",0,expect professionalism alertness staff reception staff like light term,"['expect', 'expect professionalism', 'expect professionalism alertness', 'expect professionalism alertness staff', 'expect professionalism alertness staff reception', 'expect professionalism alertness staff reception staff', 'expect professionalism alertness staff reception staff like', 'expect professionalism alertness staff reception staff like light', 'expect professionalism alertness staff reception staff like light term', 'professionalism', 'professionalism alertness', 'professionalism alertness staff', 'professionalism alertness staff reception', 'professionalism alertness staff reception staff', 'professionalism alertness staff reception staff like', 'professionalism alertness staff reception staff like light', 'professionalism alertness staff reception staff like light term', 'alertness', 'alertness staff', 'alertness staff reception', 'alertness staff reception staff', 'alertness staff reception staff like', 'alertness staff reception staff like light', 'alertness staff reception staff like light term', 'staff', 'staff reception', 'staff reception staff', 'staff reception staff like', 'staff reception staff like light', 'staff reception staff like light term', 'reception', 'reception staff', 'reception staff like', 'reception staff like light', 'reception staff like light term', 'staff', 'staff like', 'staff like light', 'staff like light term', 'like', 'like light', 'like light term', 'light', 'light term', 'term']",0,0,1,0,0,0.08196721311475409
92164,"Although staff was super friendly, I was a little uncomfortable that the patient form required me to state my drivers license number",1,staff super friendly little uncomfortable patient form require state driver license number,"['staff', 'staff super', 'staff super friendly', 'staff super friendly little', 'staff super friendly little uncomfortable', 'staff super friendly little uncomfortable patient', 'staff super friendly little uncomfortable patient form', 'staff super friendly little uncomfortable patient form require', 'staff super friendly little uncomfortable patient form require state', 'staff super friendly little uncomfortable patient form require state driver', 'staff super friendly little uncomfortable patient form require state driver license', 'staff super friendly little uncomfortable patient form require state driver license number', 'super', 'super friendly', 'super friendly little', 'super friendly little uncomfortable', 'super friendly little uncomfortable patient', 'super friendly little uncomfortable patient form', 'super friendly little uncomfortable patient form require', 'super friendly little uncomfortable patient form require state', 'super friendly little uncomfortable patient form require state driver', 'super friendly little uncomfortable patient form require state driver license', 'super friendly little uncomfortable patient form require state driver license number', 'friendly', 'friendly little', 'friendly little uncomfortable', 'friendly little uncomfortable patient', 'friendly little uncomfortable patient form', 'friendly little uncomfortable patient form require', 'friendly little uncomfortable patient form require state', 'friendly little uncomfortable patient form require state driver', 'friendly little uncomfortable patient form require state driver license', 'friendly little uncomfortable patient form require state driver license number', 'little', 'little uncomfortable', 'little uncomfortable patient', 'little uncomfortable patient form', 'little uncomfortable patient form require', 'little uncomfortable patient form require state', 'little uncomfortable patient form require state driver', 'little uncomfortable patient form require state driver license', 'little uncomfortable patient form require state driver license number', 'uncomfortable', 'uncomfortable patient', 'uncomfortable patient form', 'uncomfortable patient form require', 'uncomfortable patient form require state', 'uncomfortable patient form require state driver', 'uncomfortable patient form require state driver license', 'uncomfortable patient form require state driver license number', 'patient', 'patient form', 'patient form require', 'patient form require state', 'patient form require state driver', 'patient form require state driver license', 'patient form require state driver license number', 'form', 'form require', 'form require state', 'form require state driver', 'form require state driver license', 'form require state driver license number', 'require', 'require state', 'require state driver', 'require state driver license', 'require state driver license number', 'state', 'state driver', 'state driver license', 'state driver license number', 'driver', 'driver license', 'driver license number', 'license', 'license number', 'number']",0,0,0,1,0,0.08196721311475409
99871,NO SURGERY! . He was able to get rid of my hemorrhoids using infrared light and little rubber bands that fall off.,0,surgery able rid hemorrhoid inflame light little rubber band fall,"['surgery', 'surgery able', 'surgery able rid', 'surgery able rid hemorrhoid', 'surgery able rid hemorrhoid inflame', 'surgery able rid hemorrhoid inflame light', 'surgery able rid hemorrhoid inflame light little', 'surgery able rid hemorrhoid inflame light little rubber', 'surgery able rid hemorrhoid inflame light little rubber band', 'surgery able rid hemorrhoid inflame light little rubber band fall', 'able', 'able rid', 'able rid hemorrhoid', 'able rid hemorrhoid inflame', 'able rid hemorrhoid inflame light', 'able rid hemorrhoid inflame light little', 'able rid hemorrhoid inflame light little rubber', 'able rid hemorrhoid inflame light little rubber band', 'able rid hemorrhoid inflame light little rubber band fall', 'rid', 'rid hemorrhoid', 'rid hemorrhoid inflame', 'rid hemorrhoid inflame light', 'rid hemorrhoid inflame light little', 'rid hemorrhoid inflame light little rubber', 'rid hemorrhoid inflame light little rubber band', 'rid hemorrhoid inflame light little rubber band fall', 'hemorrhoid', 'hemorrhoid inflame', 'hemorrhoid inflame light', 'hemorrhoid inflame light little', 'hemorrhoid inflame light little rubber', 'hemorrhoid inflame light little rubber band', 'hemorrhoid inflame light little rubber band fall', 'inflame', 'inflame light', 'inflame light little', 'inflame light little rubber', 'inflame light little rubber band', 'inflame light little rubber band fall', 'light', 'light little', 'light little rubber', 'light little rubber band', 'light little rubber band fall', 'little', 'little rubber', 'little rubber band', 'little rubber band fall', 'rubber', 'rubber band', 'rubber band fall', 'band', 'band fall', 'fall']",0,0,1,0,0,0.08196721311475409
103252,I even had light spotting after the exam which has never happened before.I returned a month later to get an IUD insertion.,1,light sporting examination happen return mud insertion,"['light', 'light sporting', 'light sporting examination', 'light sporting examination happen', 'light sporting examination happen return', 'light sporting examination happen return mud', 'light sporting examination happen return mud insertion', 'sporting', 'sporting examination', 'sporting examination happen', 'sporting examination happen return', 'sporting examination happen return mud', 'sporting examination happen return mud insertion', 'examination', 'examination happen', 'examination happen return', 'examination happen return mud', 'examination happen return mud insertion', 'happen', 'happen return', 'happen return mud', 'happen return mud insertion', 'return', 'return mud', 'return mud insertion', 'mud', 'mud insertion', 'insertion']",0,0,1,0,0,0.08196721311475409
99766,I would recommend Dr. Silk to anyone!,0,recommend dr silk,"['recommend', 'recommend dr', 'recommend dr silk', 'dr', 'dr silk', 'silk']",1,0,0,0,0,0.08196721311475409
177793,and in pain)while goo in both eyes formed and the right eye kept tearing nonstop.,1,painwhile eye form right eye keep tear nonstop,"['painwhile', 'painwhile eye', 'painwhile eye form', 'painwhile eye form right', 'painwhile eye form right eye', 'painwhile eye form right eye keep', 'painwhile eye form right eye keep tear', 'painwhile eye form right eye keep tear nonstop', 'eye', 'eye form', 'eye form right', 'eye form right eye', 'eye form right eye keep', 'eye form right eye keep tear', 'eye form right eye keep tear nonstop', 'form', 'form right', 'form right eye', 'form right eye keep', 'form right eye keep tear', 'form right eye keep tear nonstop', 'right', 'right eye', 'right eye keep', 'right eye keep tear', 'right eye keep tear nonstop', 'eye', 'eye keep', 'eye keep tear', 'eye keep tear nonstop', 'keep', 'keep tear', 'keep tear nonstop', 'tear', 'tear nonstop', 'nonstop']",0,0,0,1,0,0.08196721311475409
154102,therefore i will never know the pleasure of seeing your quality doctors unless i lie on the form.,1,know pleasure see quality doctor lie form,"['know', 'know pleasure', 'know pleasure see', 'know pleasure see quality', 'know pleasure see quality doctor', 'know pleasure see quality doctor lie', 'know pleasure see quality doctor lie form', 'pleasure', 'pleasure see', 'pleasure see quality', 'pleasure see quality doctor', 'pleasure see quality doctor lie', 'pleasure see quality doctor lie form', 'see', 'see quality', 'see quality doctor', 'see quality doctor lie', 'see quality doctor lie form', 'quality', 'quality doctor', 'quality doctor lie', 'quality doctor lie form', 'doctor', 'doctor lie', 'doctor lie form', 'lie', 'lie form', 'form']",0,0,0,1,0,0.08196721311475409
144611,"Excellent--I did not realize my eyes were being starved for light until my optometrist told me,",0,excellent realize eye starve light optometrist tell,"['excellent', 'excellent realize', 'excellent realize eye', 'excellent realize eye starve', 'excellent realize eye starve light', 'excellent realize eye starve light optometrist', 'excellent realize eye starve light optometrist tell', 'realize', 'realize eye', 'realize eye starve', 'realize eye starve light', 'realize eye starve light optometrist', 'realize eye starve light optometrist tell', 'eye', 'eye starve', 'eye starve light', 'eye starve light optometrist', 'eye starve light optometrist tell', 'starve', 'starve light', 'starve light optometrist', 'starve light optometrist tell', 'light', 'light optometrist', 'light optometrist tell', 'optometrist', 'optometrist tell', 'tell']",0,0,1,0,0,0.08196721311475409
150958,My only complaint is that I got rescheduled for 3 months past my original date but they gave me a discount for waiting.,1,complaint get reschedule past original date give discount wait,"['complaint', 'complaint get', 'complaint get reschedule', 'complaint get reschedule past', 'complaint get reschedule past original', 'complaint get reschedule past original date', 'complaint get reschedule past original date give', 'complaint get reschedule past original date give discount', 'complaint get reschedule past original date give discount wait', 'get', 'get reschedule', 'get reschedule past', 'get reschedule past original', 'get reschedule past original date', 'get reschedule past original date give', 'get reschedule past original date give discount', 'get reschedule past original date give discount wait', 'reschedule', 'reschedule past', 'reschedule past original', 'reschedule past original date', 'reschedule past original date give', 'reschedule past original date give discount', 'reschedule past original date give discount wait', 'past', 'past original', 'past original date', 'past original date give', 'past original date give discount', 'past original date give discount wait', 'original', 'original date', 'original date give', 'original date give discount', 'original date give discount wait', 'date', 'date give', 'date give discount', 'date give discount wait', 'give', 'give discount', 'give discount wait', 'discount', 'discount wait', 'wait']",0,0,0,0,1,0.08196721311475409
93897,"Once I started treatment it was amazing, like the light came back into my life",0,start treatment amaze like light come life,"['start', 'start treatment', 'start treatment amaze', 'start treatment amaze like', 'start treatment amaze like light', 'start treatment amaze like light come', 'start treatment amaze like light come life', 'treatment', 'treatment amaze', 'treatment amaze like', 'treatment amaze like light', 'treatment amaze like light come', 'treatment amaze like light come life', 'amaze', 'amaze like', 'amaze like light', 'amaze like light come', 'amaze like light come life', 'like', 'like light', 'like light come', 'like light come life', 'light', 'light come', 'light come life', 'come', 'come life', 'life']",0,0,1,0,0,0.08196721311475409
146099,and pleading to get it in first place only to be told by HR and Disability that dates were wrong.,1,plead place tell disability date wrong,"['plead', 'plead place', 'plead place tell', 'plead place tell disability', 'plead place tell disability date', 'plead place tell disability date wrong', 'place', 'place tell', 'place tell disability', 'place tell disability date', 'place tell disability date wrong', 'tell', 'tell disability', 'tell disability date', 'tell disability date wrong', 'disability', 'disability date', 'disability date wrong', 'date', 'date wrong', 'wrong']",0,0,0,0,1,0.08196721311475409
186575,for me in every way she could starting with helping me get the dates,0,way start help date,"['way', 'way start', 'way start help', 'way start help date', 'start', 'start help', 'start help date', 'help', 'help date', 'date']",0,0,0,0,1,0.08196721311475409
104616,BBL Laser treatment was amazing in lighting sun damage spots I have on my face.,0,treatment amaze light sun damage spot face,"['treatment', 'treatment amaze', 'treatment amaze light', 'treatment amaze light sun', 'treatment amaze light sun damage', 'treatment amaze light sun damage spot', 'treatment amaze light sun damage spot face', 'amaze', 'amaze light', 'amaze light sun', 'amaze light sun damage', 'amaze light sun damage spot', 'amaze light sun damage spot face', 'light', 'light sun', 'light sun damage', 'light sun damage spot', 'light sun damage spot face', 'sun', 'sun damage', 'sun damage spot', 'sun damage spot face', 'damage', 'damage spot', 'damage spot face', 'spot', 'spot face', 'face']",0,0,1,0,0,0.08196721311475409
61262,I'm delighted that she apparently is up to date on the most modern methods and treatments,0,m delight apparently date modern method treatment,"['m', 'm delight', 'm delight apparently', 'm delight apparently date', 'm delight apparently date modern', 'm delight apparently date modern method', 'm delight apparently date modern method treatment', 'delight', 'delight apparently', 'delight apparently date', 'delight apparently date modern', 'delight apparently date modern method', 'delight apparently date modern method treatment', 'apparently', 'apparently date', 'apparently date modern', 'apparently date modern method', 'apparently date modern method treatment', 'date', 'date modern', 'date modern method', 'date modern method treatment', 'modern', 'modern method', 'modern method treatment', 'method', 'method treatment', 'treatment']",0,0,0,0,1,0.08196721311475409
72758,I returned to light physical work a few days after the procedure with no issues.,0,return light physical work procedure issue,"['return', 'return light', 'return light physical', 'return light physical work', 'return light physical work procedure', 'return light physical work procedure issue', 'light', 'light physical', 'light physical work', 'light physical work procedure', 'light physical work procedure issue', 'physical', 'physical work', 'physical work procedure', 'physical work procedure issue', 'work', 'work procedure', 'work procedure issue', 'procedure', 'procedure issue', 'issue']",0,0,1,0,0,0.08196721311475409
108838,I told her I wanted a light and refreshed look and that is EXACTLY what I got.,0,tell want light refresh look precisely get,"['tell', 'tell want', 'tell want light', 'tell want light refresh', 'tell want light refresh look', 'tell want light refresh look precisely', 'tell want light refresh look precisely get', 'want', 'want light', 'want light refresh', 'want light refresh look', 'want light refresh look precisely', 'want light refresh look precisely get', 'light', 'light refresh', 'light refresh look', 'light refresh look precisely', 'light refresh look precisely get', 'refresh', 'refresh look', 'refresh look precisely', 'refresh look precisely get', 'look', 'look precisely', 'look precisely get', 'precisely', 'precisely get', 'get']",0,0,1,0,0,0.08196721311475409
152071,Dr. Green attended a Zoom court date while in surgery.,1,attend room court date surgery,"['attend', 'attend room', 'attend room court', 'attend room court date', 'attend room court date surgery', 'room', 'room court', 'room court date', 'room court date surgery', 'court', 'court date', 'court date surgery', 'date', 'date surgery', 'surgery']",0,0,0,0,1,0.08196721311475409
126276,"I told them to let the doctor know I was leaving, filled out the form to receive my medical records and left.",1,tell let doctor know leave fill form receive medical record leave,"['tell', 'tell let', 'tell let doctor', 'tell let doctor know', 'tell let doctor know leave', 'tell let doctor know leave fill', 'tell let doctor know leave fill form', 'tell let doctor know leave fill form receive', 'tell let doctor know leave fill form receive medical', 'tell let doctor know leave fill form receive medical record', 'tell let doctor know leave fill form receive medical record leave', 'let', 'let doctor', 'let doctor know', 'let doctor know leave', 'let doctor know leave fill', 'let doctor know leave fill form', 'let doctor know leave fill form receive', 'let doctor know leave fill form receive medical', 'let doctor know leave fill form receive medical record', 'let doctor know leave fill form receive medical record leave', 'doctor', 'doctor know', 'doctor know leave', 'doctor know leave fill', 'doctor know leave fill form', 'doctor know leave fill form receive', 'doctor know leave fill form receive medical', 'doctor know leave fill form receive medical record', 'doctor know leave fill form receive medical record leave', 'know', 'know leave', 'know leave fill', 'know leave fill form', 'know leave fill form receive', 'know leave fill form receive medical', 'know leave fill form receive medical record', 'know leave fill form receive medical record leave', 'leave', 'leave fill', 'leave fill form', 'leave fill form receive', 'leave fill form receive medical', 'leave fill form receive medical record', 'leave fill form receive medical record leave', 'fill', 'fill form', 'fill form receive', 'fill form receive medical', 'fill form receive medical record', 'fill form receive medical record leave', 'form', 'form receive', 'form receive medical', 'form receive medical record', 'form receive medical record leave', 'receive', 'receive medical', 'receive medical record', 'receive medical record leave', 'medical', 'medical record', 'medical record leave', 'record', 'record leave', 'leave']",0,0,0,1,0,0.08196721311475409
105507,I like to plan things out in advance and it seemed like she waited until the last second to schedule the date.,1,like plan thing advance like wait schedule date,"['like', 'like plan', 'like plan thing', 'like plan thing advance', 'like plan thing advance like', 'like plan thing advance like wait', 'like plan thing advance like wait schedule', 'like plan thing advance like wait schedule date', 'plan', 'plan thing', 'plan thing advance', 'plan thing advance like', 'plan thing advance like wait', 'plan thing advance like wait schedule', 'plan thing advance like wait schedule date', 'thing', 'thing advance', 'thing advance like', 'thing advance like wait', 'thing advance like wait schedule', 'thing advance like wait schedule date', 'advance', 'advance like', 'advance like wait', 'advance like wait schedule', 'advance like wait schedule date', 'like', 'like wait', 'like wait schedule', 'like wait schedule date', 'wait', 'wait schedule', 'wait schedule date', 'schedule', 'schedule date', 'date']",0,0,0,0,1,0.08196721311475409
157940,"I was ready to book my surgery date, the front desk hung up on me...",1,ready book surgery date desk hang,"['ready', 'ready book', 'ready book surgery', 'ready book surgery date', 'ready book surgery date desk', 'ready book surgery date desk hang', 'book', 'book surgery', 'book surgery date', 'book surgery date desk', 'book surgery date desk hang', 'surgery', 'surgery date', 'surgery date desk', 'surgery date desk hang', 'date', 'date desk', 'date desk hang', 'desk', 'desk hang', 'hang']",0,0,0,0,1,0.08196721311475409
147948,"They totally disregarded this and said I needed to pay the full amount in order to ""keep my procedure date""",1,wholly ignore say need pay order procedure date,"['wholly', 'wholly ignore', 'wholly ignore say', 'wholly ignore say need', 'wholly ignore say need pay', 'wholly ignore say need pay order', 'wholly ignore say need pay order procedure', 'wholly ignore say need pay order procedure date', 'ignore', 'ignore say', 'ignore say need', 'ignore say need pay', 'ignore say need pay order', 'ignore say need pay order procedure', 'ignore say need pay order procedure date', 'say', 'say need', 'say need pay', 'say need pay order', 'say need pay order procedure', 'say need pay order procedure date', 'need', 'need pay', 'need pay order', 'need pay order procedure', 'need pay order procedure date', 'pay', 'pay order', 'pay order procedure', 'pay order procedure date', 'order', 'order procedure', 'order procedure date', 'procedure', 'procedure date', 'date']",0,0,0,0,1,0.08196721311475409
186578,for a pre-op or surgery date (Danica was supposed to be my patient care coordinator).,1,prop surgery date daniel suppose patient care coordinate,"['prop', 'prop surgery', 'prop surgery date', 'prop surgery date daniel', 'prop surgery date daniel suppose', 'prop surgery date daniel suppose patient', 'prop surgery date daniel suppose patient care', 'prop surgery date daniel suppose patient care coordinate', 'surgery', 'surgery date', 'surgery date daniel', 'surgery date daniel suppose', 'surgery date daniel suppose patient', 'surgery date daniel suppose patient care', 'surgery date daniel suppose patient care coordinate', 'date', 'date daniel', 'date daniel suppose', 'date daniel suppose patient', 'date daniel suppose patient care', 'date daniel suppose patient care coordinate', 'daniel', 'daniel suppose', 'daniel suppose patient', 'daniel suppose patient care', 'daniel suppose patient care coordinate', 'suppose', 'suppose patient', 'suppose patient care', 'suppose patient care coordinate', 'patient', 'patient care', 'patient care coordinate', 'care', 'care coordinate', 'coordinate']",0,0,0,0,1,0.08196721311475409
83607,I can smell the lovely spring flowers!,0,smell lovely spring flower,"['smell', 'smell lovely', 'smell lovely spring', 'smell lovely spring flower', 'lovely', 'lovely spring', 'lovely spring flower', 'spring', 'spring flower', 'flower']",0,1,0,0,0,0.08196721311475409
115817,"He is up to date on new treatments of non healing wounds, of diabetic feet.",0,date new treatment not heal wound diabetic foot,"['date', 'date new', 'date new treatment', 'date new treatment not', 'date new treatment not heal', 'date new treatment not heal wound', 'date new treatment not heal wound diabetic', 'date new treatment not heal wound diabetic foot', 'new', 'new treatment', 'new treatment not', 'new treatment not heal', 'new treatment not heal wound', 'new treatment not heal wound diabetic', 'new treatment not heal wound diabetic foot', 'treatment', 'treatment not', 'treatment not heal', 'treatment not heal wound', 'treatment not heal wound diabetic', 'treatment not heal wound diabetic foot', 'not', 'not heal', 'not heal wound', 'not heal wound diabetic', 'not heal wound diabetic foot', 'heal', 'heal wound', 'heal wound diabetic', 'heal wound diabetic foot', 'wound', 'wound diabetic', 'wound diabetic foot', 'diabetic', 'diabetic foot', 'foot']",0,0,0,0,1,0.08196721311475409
122937,At my first appointment the staff neglected to provide me via email with the 20 page form needed upon arrival,1,appointment staff neglect provide e-mail page form need arrival,"['appointment', 'appointment staff', 'appointment staff neglect', 'appointment staff neglect provide', 'appointment staff neglect provide e-mail', 'appointment staff neglect provide e-mail page', 'appointment staff neglect provide e-mail page form', 'appointment staff neglect provide e-mail page form need', 'appointment staff neglect provide e-mail page form need arrival', 'staff', 'staff neglect', 'staff neglect provide', 'staff neglect provide e-mail', 'staff neglect provide e-mail page', 'staff neglect provide e-mail page form', 'staff neglect provide e-mail page form need', 'staff neglect provide e-mail page form need arrival', 'neglect', 'neglect provide', 'neglect provide e-mail', 'neglect provide e-mail page', 'neglect provide e-mail page form', 'neglect provide e-mail page form need', 'neglect provide e-mail page form need arrival', 'provide', 'provide e-mail', 'provide e-mail page', 'provide e-mail page form', 'provide e-mail page form need', 'provide e-mail page form need arrival', 'e-mail', 'e-mail page', 'e-mail page form', 'e-mail page form need', 'e-mail page form need arrival', 'page', 'page form', 'page form need', 'page form need arrival', 'form', 'form need', 'form need arrival', 'need', 'need arrival', 'arrival']",0,0,0,1,0,0.08196721311475409
103655,"The extras (flowers, pictures, pin) were a real nice touch.",0,extra flower picture pin real nice touch,"['extra', 'extra flower', 'extra flower picture', 'extra flower picture pin', 'extra flower picture pin real', 'extra flower picture pin real nice', 'extra flower picture pin real nice touch', 'flower', 'flower picture', 'flower picture pin', 'flower picture pin real', 'flower picture pin real nice', 'flower picture pin real nice touch', 'picture', 'picture pin', 'picture pin real', 'picture pin real nice', 'picture pin real nice touch', 'pin', 'pin real', 'pin real nice', 'pin real nice touch', 'real', 'real nice', 'real nice touch', 'nice', 'nice touch', 'touch']",0,1,0,0,0,0.08196721311475409
156243,To date he has never written me back an email or called me to try to come to a resolution.,1,date write e-mail call try come resolution,"['date', 'date write', 'date write e-mail', 'date write e-mail call', 'date write e-mail call try', 'date write e-mail call try come', 'date write e-mail call try come resolution', 'write', 'write e-mail', 'write e-mail call', 'write e-mail call try', 'write e-mail call try come', 'write e-mail call try come resolution', 'e-mail', 'e-mail call', 'e-mail call try', 'e-mail call try come', 'e-mail call try come resolution', 'call', 'call try', 'call try come', 'call try come resolution', 'try', 'try come', 'try come resolution', 'come', 'come resolution', 'resolution']",0,0,0,0,1,0.08196721311475409
87890,and I love that they give out flowers when you leave.,0,love flower leave,"['love', 'love flower', 'love flower leave', 'flower', 'flower leave', 'leave']",0,1,0,0,0,0.08196721311475409
134006,"but up to this date no word from this clinic yet, cuz I know they did me wrong!",1,date word clinic cut know wrong,"['date', 'date word', 'date word clinic', 'date word clinic cut', 'date word clinic cut know', 'date word clinic cut know wrong', 'word', 'word clinic', 'word clinic cut', 'word clinic cut know', 'word clinic cut know wrong', 'clinic', 'clinic cut', 'clinic cut know', 'clinic cut know wrong', 'cut', 'cut know', 'cut know wrong', 'know', 'know wrong', 'wrong']",0,0,0,0,1,0.08196721311475409
157939,Thanks Shayna and Silk Touch!!,0,thanks silk touch,"['thanks', 'thanks silk', 'thanks silk touch', 'silk', 'silk touch', 'touch']",1,0,0,0,0,0.08196721311475409
