commentId,comment,classification,comment_processed,word_phrase_list,little,little pain,pain,exceed,exceed expectation,expectation,similarity_score
190671,"I don't want to minimize it: I was swollen, felt pain and also felt nauseous.",1,want minimize swell feel pain feel caseous,"['want', 'want minimize', 'want minimize swell', 'want minimize swell feel', 'want minimize swell feel pain', 'want minimize swell feel pain feel', 'want minimize swell feel pain feel caseous', 'minimize', 'minimize swell', 'minimize swell feel', 'minimize swell feel pain', 'minimize swell feel pain feel', 'minimize swell feel pain feel caseous', 'swell', 'swell feel', 'swell feel pain', 'swell feel pain feel', 'swell feel pain feel caseous', 'feel', 'feel pain', 'feel pain feel', 'feel pain feel caseous', 'pain', 'pain feel', 'pain feel caseous', 'feel', 'feel caseous', 'caseous']",0,0,1,0,0,0,0.05263157894736842
138181,"No more nausea, vomiting, or being confined to bed as a prisoner of head pain,",0,no nausea vomit confine bed prisoner head pain,"['no', 'no nausea', 'no nausea vomit', 'no nausea vomit confine', 'no nausea vomit confine bed', 'no nausea vomit confine bed prisoner', 'no nausea vomit confine bed prisoner head', 'no nausea vomit confine bed prisoner head pain', 'nausea', 'nausea vomit', 'nausea vomit confine', 'nausea vomit confine bed', 'nausea vomit confine bed prisoner', 'nausea vomit confine bed prisoner head', 'nausea vomit confine bed prisoner head pain', 'vomit', 'vomit confine', 'vomit confine bed', 'vomit confine bed prisoner', 'vomit confine bed prisoner head', 'vomit confine bed prisoner head pain', 'confine', 'confine bed', 'confine bed prisoner', 'confine bed prisoner head', 'confine bed prisoner head pain', 'bed', 'bed prisoner', 'bed prisoner head', 'bed prisoner head pain', 'prisoner', 'prisoner head', 'prisoner head pain', 'head', 'head pain', 'pain']",0,0,1,0,0,0,0.043478260869565216
142606,The entire surgery took approximately 1 1/2 hours.I am now in the healing stage and l still have not experienced any pain.,0,entire surgery take approximately hour heal stage l not experience pain,"['entire', 'entire surgery', 'entire surgery take', 'entire surgery take approximately', 'entire surgery take approximately hour', 'entire surgery take approximately hour heal', 'entire surgery take approximately hour heal stage', 'entire surgery take approximately hour heal stage l', 'entire surgery take approximately hour heal stage l not', 'entire surgery take approximately hour heal stage l not experience', 'entire surgery take approximately hour heal stage l not experience pain', 'surgery', 'surgery take', 'surgery take approximately', 'surgery take approximately hour', 'surgery take approximately hour heal', 'surgery take approximately hour heal stage', 'surgery take approximately hour heal stage l', 'surgery take approximately hour heal stage l not', 'surgery take approximately hour heal stage l not experience', 'surgery take approximately hour heal stage l not experience pain', 'take', 'take approximately', 'take approximately hour', 'take approximately hour heal', 'take approximately hour heal stage', 'take approximately hour heal stage l', 'take approximately hour heal stage l not', 'take approximately hour heal stage l not experience', 'take approximately hour heal stage l not experience pain', 'approximately', 'approximately hour', 'approximately hour heal', 'approximately hour heal stage', 'approximately hour heal stage l', 'approximately hour heal stage l not', 'approximately hour heal stage l not experience', 'approximately hour heal stage l not experience pain', 'hour', 'hour heal', 'hour heal stage', 'hour heal stage l', 'hour heal stage l not', 'hour heal stage l not experience', 'hour heal stage l not experience pain', 'heal', 'heal stage', 'heal stage l', 'heal stage l not', 'heal stage l not experience', 'heal stage l not experience pain', 'stage', 'stage l', 'stage l not', 'stage l not experience', 'stage l not experience pain', 'l', 'l not', 'l not experience', 'l not experience pain', 'not', 'not experience', 'not experience pain', 'experience', 'experience pain', 'pain']",0,0,1,0,0,0,0.02631578947368421
57689,A little less waiting time in the waiting room would be nice.,1,little wait time wait room nice,"['little', 'little wait', 'little wait time', 'little wait time wait', 'little wait time wait room', 'little wait time wait room nice', 'wait', 'wait time', 'wait time wait', 'wait time wait room', 'wait time wait room nice', 'time', 'time wait', 'time wait room', 'time wait room nice', 'wait', 'wait room', 'wait room nice', 'room', 'room nice', 'nice']",1,0,0,0,0,0,0.06451612903225806
68459,"I was given an appointment a day after I called, which was amazing because I was uncomfortable and in pain.",0,give appointment call amaze uncomfortable pain,"['give', 'give appointment', 'give appointment call', 'give appointment call amaze', 'give appointment call amaze uncomfortable', 'give appointment call amaze uncomfortable pain', 'appointment', 'appointment call', 'appointment call amaze', 'appointment call amaze uncomfortable', 'appointment call amaze uncomfortable pain', 'call', 'call amaze', 'call amaze uncomfortable', 'call amaze uncomfortable pain', 'amaze', 'amaze uncomfortable', 'amaze uncomfortable pain', 'uncomfortable', 'uncomfortable pain', 'pain']",0,0,1,0,0,0,0.06451612903225806
136036,The first few days of wearing the orthotics was a little annoying,1,wear orthotics little annoying,"['wear', 'wear orthotics', 'wear orthotics little', 'wear orthotics little annoying', 'orthotics', 'orthotics little', 'orthotics little annoying', 'little', 'little annoying', 'annoying']",1,0,0,0,0,0,0.1
178828,My experience with Modern pain consultants was beyond my belief.,0,experience modern pain adviser belief,"['experience', 'experience modern', 'experience modern pain', 'experience modern pain adviser', 'experience modern pain adviser belief', 'modern', 'modern pain', 'modern pain adviser', 'modern pain adviser belief', 'pain', 'pain adviser', 'pain adviser belief', 'adviser', 'adviser belief', 'belief']",0,0,1,0,0,0,0.08
172753,Very concerned about my pain.,0,concerned pain,"['concerned', 'concerned pain', 'pain']",0,0,1,0,0,0,0.15384615384615385
127526,so expectations are high when she sees another phyisician because she knows the care she provides for patients)..she is over the moon with him!,0,expectation high see doctor know care provide patientsshe moon,"['expectation', 'expectation high', 'expectation high see', 'expectation high see doctor', 'expectation high see doctor know', 'expectation high see doctor know care', 'expectation high see doctor know care provide', 'expectation high see doctor know care provide patientsshe', 'expectation high see doctor know care provide patientsshe moon', 'high', 'high see', 'high see doctor', 'high see doctor know', 'high see doctor know care', 'high see doctor know care provide', 'high see doctor know care provide patientsshe', 'high see doctor know care provide patientsshe moon', 'see', 'see doctor', 'see doctor know', 'see doctor know care', 'see doctor know care provide', 'see doctor know care provide patientsshe', 'see doctor know care provide patientsshe moon', 'doctor', 'doctor know', 'doctor know care', 'doctor know care provide', 'doctor know care provide patientsshe', 'doctor know care provide patientsshe moon', 'know', 'know care', 'know care provide', 'know care provide patientsshe', 'know care provide patientsshe moon', 'care', 'care provide', 'care provide patientsshe', 'care provide patientsshe moon', 'provide', 'provide patientsshe', 'provide patientsshe moon', 'patientsshe', 'patientsshe moon', 'moon']",0,0,0,0,0,1,0.03636363636363636
123340,"Honestly, your whole story makes little sense.",1,honestly story make little sense,"['honestly', 'honestly story', 'honestly story make', 'honestly story make little', 'honestly story make little sense', 'story', 'story make', 'story make little', 'story make little sense', 'make', 'make little', 'make little sense', 'little', 'little sense', 'sense']",1,0,0,0,0,0,0.08
126409,I have had no pain and no crusting like the first place.,0,no pain no crush like place,"['no', 'no pain', 'no pain no', 'no pain no crush', 'no pain no crush like', 'no pain no crush like place', 'pain', 'pain no', 'pain no crush', 'pain no crush like', 'pain no crush like place', 'no', 'no crush', 'no crush like', 'no crush like place', 'crush', 'crush like', 'crush like place', 'like', 'like place', 'place']",0,0,1,0,0,0,0.06451612903225806
128349,"I now feel great-there are days here and there that I have some pain but, that was to be expected and is tolerable.",0,feel greatthere day pain expect tolerable,"['feel', 'feel greatthere', 'feel greatthere day', 'feel greatthere day pain', 'feel greatthere day pain expect', 'feel greatthere day pain expect tolerable', 'greatthere', 'greatthere day', 'greatthere day pain', 'greatthere day pain expect', 'greatthere day pain expect tolerable', 'day', 'day pain', 'day pain expect', 'day pain expect tolerable', 'pain', 'pain expect', 'pain expect tolerable', 'expect', 'expect tolerable', 'tolerable']",0,0,1,0,0,0,0.06451612903225806
87123,He has given me my life without continual pain back.,0,give life continual pain,"['give', 'give life', 'give life continual', 'give life continual pain', 'life', 'life continual', 'life continual pain', 'continual', 'continual pain', 'pain']",0,0,1,0,0,0,0.1
161699,"Long waiting,10/15/2021 when you go to see a doctor in pain seeking",1,long wait pain seek,"['long', 'long wait', 'long wait pain', 'long wait pain seek', 'wait', 'wait pain', 'wait pain seek', 'pain', 'pain seek', 'seek']",0,0,1,0,0,0,0.1
152246,"and 1 week later my husband jaw is extremely swollen, after experiencing pain",1,husband extremely swell experience pain,"['husband', 'husband extremely', 'husband extremely swell', 'husband extremely swell experience', 'husband extremely swell experience pain', 'extremely', 'extremely swell', 'extremely swell experience', 'extremely swell experience pain', 'swell', 'swell experience', 'swell experience pain', 'experience', 'experience pain', 'pain']",0,0,1,0,0,0,0.08
67761,I had problems working but now all my pains are gone.,0,problem work pain go,"['problem', 'problem work', 'problem work pain', 'problem work pain go', 'work', 'work pain', 'work pain go', 'pain', 'pain go', 'go']",0,0,1,0,0,0,0.1
57692,"For the visit nothing, but the payments for my treatments come in such little pieces. ",1,visit payment treatment come little piece,"['visit', 'visit payment', 'visit payment treatment', 'visit payment treatment come', 'visit payment treatment come little', 'visit payment treatment come little piece', 'payment', 'payment treatment', 'payment treatment come', 'payment treatment come little', 'payment treatment come little piece', 'treatment', 'treatment come', 'treatment come little', 'treatment come little piece', 'come', 'come little', 'come little piece', 'little', 'little piece', 'piece']",1,0,0,0,0,0,0.06451612903225806
123507,I am still fighting a little infection complete with wound draining and packing that has had to extend my leave of absence from work.,1,fight little infection complete wound drain pack extend leave absence work,"['fight', 'fight little', 'fight little infection', 'fight little infection complete', 'fight little infection complete wound', 'fight little infection complete wound drain', 'fight little infection complete wound drain pack', 'fight little infection complete wound drain pack extend', 'fight little infection complete wound drain pack extend leave', 'fight little infection complete wound drain pack extend leave absence', 'fight little infection complete wound drain pack extend leave absence work', 'little', 'little infection', 'little infection complete', 'little infection complete wound', 'little infection complete wound drain', 'little infection complete wound drain pack', 'little infection complete wound drain pack extend', 'little infection complete wound drain pack extend leave', 'little infection complete wound drain pack extend leave absence', 'little infection complete wound drain pack extend leave absence work', 'infection', 'infection complete', 'infection complete wound', 'infection complete wound drain', 'infection complete wound drain pack', 'infection complete wound drain pack extend', 'infection complete wound drain pack extend leave', 'infection complete wound drain pack extend leave absence', 'infection complete wound drain pack extend leave absence work', 'complete', 'complete wound', 'complete wound drain', 'complete wound drain pack', 'complete wound drain pack extend', 'complete wound drain pack extend leave', 'complete wound drain pack extend leave absence', 'complete wound drain pack extend leave absence work', 'wound', 'wound drain', 'wound drain pack', 'wound drain pack extend', 'wound drain pack extend leave', 'wound drain pack extend leave absence', 'wound drain pack extend leave absence work', 'drain', 'drain pack', 'drain pack extend', 'drain pack extend leave', 'drain pack extend leave absence', 'drain pack extend leave absence work', 'pack', 'pack extend', 'pack extend leave', 'pack extend leave absence', 'pack extend leave absence work', 'extend', 'extend leave', 'extend leave absence', 'extend leave absence work', 'leave', 'leave absence', 'leave absence work', 'absence', 'absence work', 'work']",1,0,0,0,0,0,0.02631578947368421
159622,my pain is beyond human suffering after having a DLDR and an ablation,1,pain human suffer have relation,"['pain', 'pain human', 'pain human suffer', 'pain human suffer have', 'pain human suffer have relation', 'human', 'human suffer', 'human suffer have', 'human suffer have relation', 'suffer', 'suffer have', 'suffer have relation', 'have', 'have relation', 'relation']",0,0,1,0,0,0,0.08
171636,and can't do that anymore because the more I walk the worse the pain gets.,1,anymore walk bad pain get,"['anymore', 'anymore walk', 'anymore walk bad', 'anymore walk bad pain', 'anymore walk bad pain get', 'walk', 'walk bad', 'walk bad pain', 'walk bad pain get', 'bad', 'bad pain', 'bad pain get', 'pain', 'pain get', 'get']",0,0,1,0,0,0,0.08
135631,for it as the pain only flares up occasionally and is minimal or absent on most days.,0,pain flare occasionally minimal absent,"['pain', 'pain flare', 'pain flare occasionally', 'pain flare occasionally minimal', 'pain flare occasionally minimal absent', 'flare', 'flare occasionally', 'flare occasionally minimal', 'flare occasionally minimal absent', 'occasionally', 'occasionally minimal', 'occasionally minimal absent', 'minimal', 'minimal absent', 'absent']",0,0,1,0,0,0,0.08
183979,Tylenol did the trick and I did not feel the need to use any other medications to manage my pain level.,0,acetaminophen trick not feel need use meditation manage pain level,"['acetaminophen', 'acetaminophen trick', 'acetaminophen trick not', 'acetaminophen trick not feel', 'acetaminophen trick not feel need', 'acetaminophen trick not feel need use', 'acetaminophen trick not feel need use meditation', 'acetaminophen trick not feel need use meditation manage', 'acetaminophen trick not feel need use meditation manage pain', 'acetaminophen trick not feel need use meditation manage pain level', 'trick', 'trick not', 'trick not feel', 'trick not feel need', 'trick not feel need use', 'trick not feel need use meditation', 'trick not feel need use meditation manage', 'trick not feel need use meditation manage pain', 'trick not feel need use meditation manage pain level', 'not', 'not feel', 'not feel need', 'not feel need use', 'not feel need use meditation', 'not feel need use meditation manage', 'not feel need use meditation manage pain', 'not feel need use meditation manage pain level', 'feel', 'feel need', 'feel need use', 'feel need use meditation', 'feel need use meditation manage', 'feel need use meditation manage pain', 'feel need use meditation manage pain level', 'need', 'need use', 'need use meditation', 'need use meditation manage', 'need use meditation manage pain', 'need use meditation manage pain level', 'use', 'use meditation', 'use meditation manage', 'use meditation manage pain', 'use meditation manage pain level', 'meditation', 'meditation manage', 'meditation manage pain', 'meditation manage pain level', 'manage', 'manage pain', 'manage pain level', 'pain', 'pain level', 'level']",0,0,1,0,0,0,0.03076923076923077
68707,Little waiting.,0,little wait,"['little', 'little wait', 'wait']",1,0,0,0,0,0,0.15384615384615385
145431,"Was told how much better it would be after surgery, two surgeries later and more pain and a screwed up knee .",1,tell good surgery forgery late pain screw knee,"['tell', 'tell good', 'tell good surgery', 'tell good surgery forgery', 'tell good surgery forgery late', 'tell good surgery forgery late pain', 'tell good surgery forgery late pain screw', 'tell good surgery forgery late pain screw knee', 'good', 'good surgery', 'good surgery forgery', 'good surgery forgery late', 'good surgery forgery late pain', 'good surgery forgery late pain screw', 'good surgery forgery late pain screw knee', 'surgery', 'surgery forgery', 'surgery forgery late', 'surgery forgery late pain', 'surgery forgery late pain screw', 'surgery forgery late pain screw knee', 'forgery', 'forgery late', 'forgery late pain', 'forgery late pain screw', 'forgery late pain screw knee', 'late', 'late pain', 'late pain screw', 'late pain screw knee', 'pain', 'pain screw', 'pain screw knee', 'screw', 'screw knee', 'knee']",0,0,1,0,0,0,0.043478260869565216
182032,"When I read later about the infiltration process, I read that doctors are supposed to go very slowly in order to minimize pain.",1,read late infiltration process read doctor suppose slowly order minimize pain,"['read', 'read late', 'read late infiltration', 'read late infiltration process', 'read late infiltration process read', 'read late infiltration process read doctor', 'read late infiltration process read doctor suppose', 'read late infiltration process read doctor suppose slowly', 'read late infiltration process read doctor suppose slowly order', 'read late infiltration process read doctor suppose slowly order minimize', 'read late infiltration process read doctor suppose slowly order minimize pain', 'late', 'late infiltration', 'late infiltration process', 'late infiltration process read', 'late infiltration process read doctor', 'late infiltration process read doctor suppose', 'late infiltration process read doctor suppose slowly', 'late infiltration process read doctor suppose slowly order', 'late infiltration process read doctor suppose slowly order minimize', 'late infiltration process read doctor suppose slowly order minimize pain', 'infiltration', 'infiltration process', 'infiltration process read', 'infiltration process read doctor', 'infiltration process read doctor suppose', 'infiltration process read doctor suppose slowly', 'infiltration process read doctor suppose slowly order', 'infiltration process read doctor suppose slowly order minimize', 'infiltration process read doctor suppose slowly order minimize pain', 'process', 'process read', 'process read doctor', 'process read doctor suppose', 'process read doctor suppose slowly', 'process read doctor suppose slowly order', 'process read doctor suppose slowly order minimize', 'process read doctor suppose slowly order minimize pain', 'read', 'read doctor', 'read doctor suppose', 'read doctor suppose slowly', 'read doctor suppose slowly order', 'read doctor suppose slowly order minimize', 'read doctor suppose slowly order minimize pain', 'doctor', 'doctor suppose', 'doctor suppose slowly', 'doctor suppose slowly order', 'doctor suppose slowly order minimize', 'doctor suppose slowly order minimize pain', 'suppose', 'suppose slowly', 'suppose slowly order', 'suppose slowly order minimize', 'suppose slowly order minimize pain', 'slowly', 'slowly order', 'slowly order minimize', 'slowly order minimize pain', 'order', 'order minimize', 'order minimize pain', 'minimize', 'minimize pain', 'pain']",0,0,1,0,0,0,0.02631578947368421
153095,"There was no pain, and still isn't.",0,no pain,"['no', 'no pain', 'pain']",0,0,1,0,0,0,0.15384615384615385
142406,Staff is very helpful and understanding to meet our needs and expectations.,0,staff helpful understanding meet need expectation,"['staff', 'staff helpful', 'staff helpful understanding', 'staff helpful understanding meet', 'staff helpful understanding meet need', 'staff helpful understanding meet need expectation', 'helpful', 'helpful understanding', 'helpful understanding meet', 'helpful understanding meet need', 'helpful understanding meet need expectation', 'understanding', 'understanding meet', 'understanding meet need', 'understanding meet need expectation', 'meet', 'meet need', 'meet need expectation', 'need', 'need expectation', 'expectation']",0,0,0,0,0,1,0.06451612903225806
111645,and I still have no restrictions and no pain.,0,no restriction no pain,"['no', 'no restriction', 'no restriction no', 'no restriction no pain', 'restriction', 'restriction no', 'restriction no pain', 'no', 'no pain', 'pain']",0,0,1,0,0,0,0.1
173030,"My experience was throwing up, and terrible PAIN!",1,experience throw terrible pain,"['experience', 'experience throw', 'experience throw terrible', 'experience throw terrible pain', 'throw', 'throw terrible', 'throw terrible pain', 'terrible', 'terrible pain', 'pain']",0,0,1,0,0,0,0.1
160354,"I was a little discouraged the first month with blurriness,",1,little discourage indistinctness,"['little', 'little discourage', 'little discourage indistinctness', 'discourage', 'discourage indistinctness', 'indistinctness']",1,0,0,0,0,0,0.125
167764,"I needed some corrective work on my eyelids that had drooped over my eyelashes , and it went smoothly , no pain, and wonderful results.",0,need corrective work eyelid droop eyelash go smoothly no pain fantastic result,"['need', 'need corrective', 'need corrective work', 'need corrective work eyelid', 'need corrective work eyelid droop', 'need corrective work eyelid droop eyelash', 'need corrective work eyelid droop eyelash go', 'need corrective work eyelid droop eyelash go smoothly', 'need corrective work eyelid droop eyelash go smoothly no', 'need corrective work eyelid droop eyelash go smoothly no pain', 'need corrective work eyelid droop eyelash go smoothly no pain fantastic', 'need corrective work eyelid droop eyelash go smoothly no pain fantastic result', 'corrective', 'corrective work', 'corrective work eyelid', 'corrective work eyelid droop', 'corrective work eyelid droop eyelash', 'corrective work eyelid droop eyelash go', 'corrective work eyelid droop eyelash go smoothly', 'corrective work eyelid droop eyelash go smoothly no', 'corrective work eyelid droop eyelash go smoothly no pain', 'corrective work eyelid droop eyelash go smoothly no pain fantastic', 'corrective work eyelid droop eyelash go smoothly no pain fantastic result', 'work', 'work eyelid', 'work eyelid droop', 'work eyelid droop eyelash', 'work eyelid droop eyelash go', 'work eyelid droop eyelash go smoothly', 'work eyelid droop eyelash go smoothly no', 'work eyelid droop eyelash go smoothly no pain', 'work eyelid droop eyelash go smoothly no pain fantastic', 'work eyelid droop eyelash go smoothly no pain fantastic result', 'eyelid', 'eyelid droop', 'eyelid droop eyelash', 'eyelid droop eyelash go', 'eyelid droop eyelash go smoothly', 'eyelid droop eyelash go smoothly no', 'eyelid droop eyelash go smoothly no pain', 'eyelid droop eyelash go smoothly no pain fantastic', 'eyelid droop eyelash go smoothly no pain fantastic result', 'droop', 'droop eyelash', 'droop eyelash go', 'droop eyelash go smoothly', 'droop eyelash go smoothly no', 'droop eyelash go smoothly no pain', 'droop eyelash go smoothly no pain fantastic', 'droop eyelash go smoothly no pain fantastic result', 'eyelash', 'eyelash go', 'eyelash go smoothly', 'eyelash go smoothly no', 'eyelash go smoothly no pain', 'eyelash go smoothly no pain fantastic', 'eyelash go smoothly no pain fantastic result', 'go', 'go smoothly', 'go smoothly no', 'go smoothly no pain', 'go smoothly no pain fantastic', 'go smoothly no pain fantastic result', 'smoothly', 'smoothly no', 'smoothly no pain', 'smoothly no pain fantastic', 'smoothly no pain fantastic result', 'no', 'no pain', 'no pain fantastic', 'no pain fantastic result', 'pain', 'pain fantastic', 'pain fantastic result', 'fantastic', 'fantastic result', 'result']",0,0,1,0,0,0,0.022727272727272728
